noise,filter,seed,snr_in_db,snr_out_db,delta_snr_db,mse_in,mse_out,hurst_in,hurst_out,alpha_in,alpha_out
N3,F0,5,-17.72661713910255,-17.72661713910255,0.0,1.2398141846451125,1.2398141846451125,0.5854084920636218,0.5854084920636218,1.7690718810611392,1.7690718810611392
N3,F1,5,-17.72661713910255,-4.641876129379351,13.0847410097232,1.2398141846451125,0.06129300688352482,0.5854084920636218,1.0265795848664645,1.7690718810611392,1.793631084631647
N3,F2,5,-17.72661713910255,-1.3806940010679605,16.34592313803459,1.2398141846451125,0.029054091817440668,0.5854084920636218,1.1899839706503161,1.7690718810611392,1.8894082702941808
N3,F3,5,-17.72661713910255,-9.876805381902198,7.849811757200353,1.2398141846451125,0.20378994185775162,0.5854084920636218,0.8468719732399707,1.7690718810611392,1.4656565698596316
N3,F4,5,-17.72661713910255,-2.707265605828148,15.019351533274403,1.2398141846451125,0.039079883937155,0.5854084920636218,1.033971338893224,1.7690718810611392,1.8640434767558314
N3,F6,5,-17.72661713910255,-8.840790619560025,8.885826519542526,1.2398141846451125,0.16063069163633525,0.5854084920636218,0.9270941793986451,1.7690718810611392,1.7054666133655807
N3,F7,5,-17.72661713910255,-2.270981897665104,15.455635241437447,1.2398141846451125,0.035312195751450726,0.5854084920636218,0.8969000198052652,1.7690718810611392,1.814538063401949
N3,F8,5,-17.72661713910255,-2.270981897665104,15.455635241437447,1.2398141846451125,0.035312195751450726,0.5854084920636218,0.8969000198052652,1.7690718810611392,1.814538063401949
N3,F5,5,-17.72661713910255,-1.9656125466432464,15.761004592459305,1.2398141846451125,0.03298105543626935,0.5854084920636218,0.9952111377238804,1.7690718810611392,2.0
N3,F9,5,-17.72661713910255,2.142903693613923,19.869520832716475,1.2398141846451125,0.01296350738141179,0.5854084920636218,1.31245028452095,1.7690718810611392,1.7917495702097326
N3,F0,6,-19.82443141441952,-19.82443141441952,0.0,1.951149220894083,1.951149220894083,0.6183831549038593,0.6183831549038593,1.696192142093262,1.696192142093262
N3,F1,6,-19.82443141441952,-6.836288404351761,12.98814301006776,1.951149220894083,0.09946507997405307,0.6183831549038593,1.0529691735476274,1.696192142093262,1.6595856516757161
N3,F2,6,-19.82443141441952,-3.0926593930404787,16.731772021379044,1.951149220894083,0.04276992843134289,0.6183831549038593,1.22358911618751,1.696192142093262,1.9152642101765385
N3,F3,6,-19.82443141441952,-14.237628300264698,5.586803114154824,1.951149220894083,0.5397656607042403,0.6183831549038593,0.8018164307505733,1.696192142093262,1.4510069762575868
N3,F4,6,-19.82443141441952,-2.8510341296737716,16.97339728474575,1.951149220894083,0.03936599665141145,0.6183831549038593,1.0210545057496545,1.696192142093262,1.8908125103419837
N3,F6,6,-19.82443141441952,-13.01659615495117,6.8078352594683516,1.951149220894083,0.4077582692849013,0.6183831549038593,0.8691588575601654,1.696192142093262,1.7121098598243243
N3,F7,6,-19.82443141441952,-2.694775340932381,17.12965607348714,1.951149220894083,0.03783591902208572,0.6183831549038593,0.8875881995739401,1.696192142093262,1.7542410981096173
N3,F8,6,-19.82443141441952,-2.694775340932381,17.12965607348714,1.951149220894083,0.03783591902208572,0.6183831549038593,0.8875881995739401,1.696192142093262,1.7542410981096173
N3,F5,6,-19.82443141441952,-3.2400210538153456,16.584410360604174,1.951149220894083,0.04317816317170545,0.6183831549038593,1.0058853551843168,1.696192142093262,1.9543166386355952
N3,F9,6,-19.82443141441952,2.102851541171287,21.927282955590808,1.951149220894083,0.01305843717353312,0.6183831549038593,1.3122544609543025,1.696192142093262,2.0
N3,F0,7,-18.677800546680093,-18.677800546680093,0.0,1.4888196868844625,1.4888196868844625,0.6057212447806731,0.6057212447806731,1.810889375212037,1.810889375212037
N3,F1,7,-18.677800546680093,-5.773705900154308,12.904094646525785,1.4888196868844625,0.07628905596627764,0.6057212447806731,1.052558430908893,1.810889375212037,1.6867197314469222
N3,F2,7,-18.677800546680093,-2.0541831937039574,16.623617352976137,1.4888196868844625,0.03243185134559913,0.6057212447806731,1.2321489211845016,1.810889375212037,1.629045090650886
N3,F3,7,-18.677800546680093,-10.811604117457707,7.866196429222386,1.4888196868844625,0.2433749221880478,0.6057212447806731,0.9288136435204176,1.810889375212037,1.4012678579795952
N3,F4,7,-18.677800546680093,-3.1596017879910017,15.518198758689092,1.4888196868844625,0.04198710966826456,0.6057212447806731,1.032496805760425,1.810889375212037,1.7929596053010697
N3,F6,7,-18.677800546680093,-9.806834488860433,8.87096605781966,1.4888196868844625,0.1931135534802068,0.6057212447806731,0.9857779140106099,1.810889375212037,1.3695947925724563
N3,F7,7,-18.677800546680093,-1.82619430950621,16.851606237173883,1.4888196868844625,0.031097613103016414,0.6057212447806731,0.9626174795608526,1.810889375212037,1.7494043135017436
N3,F8,7,-18.677800546680093,-1.82619430950621,16.851606237173883,1.4888196868844625,0.031097613103016414,0.6057212447806731,0.9626174795608526,1.810889375212037,1.7494043135017436
N3,F5,7,-18.677800546680093,-2.7305213995653386,15.947279147114754,1.4888196868844625,0.03785427378454237,0.6057212447806731,0.9938864850389184,1.810889375212037,1.786802940129983
N3,F9,7,-18.677800546680093,1.4779618649454365,20.155762411625528,1.4888196868844625,0.014538647201290375,0.6057212447806731,1.2991934215189325,1.810889375212037,1.6263212303427794
N3,F0,8,-23.483961159476365,-23.483961159476365,0.0,4.0663967467156805,4.0663967467156805,0.6870979273027524,0.6870979273027524,1.6715418038682517,1.6715418038682517
N3,F1,8,-23.483961159476365,-10.771852476998593,12.712108682477773,4.0663967467156805,0.2178023608850966,0.6870979273027524,1.129993359787523,1.6715418038682517,1.7650809319025287
N3,F2,8,-23.483961159476365,-6.7451234615098565,16.73883769796651,4.0663967467156805,0.08622934660571763,0.6870979273027524,1.301405543077833,1.6715418038682517,1.732354553401044
N3,F3,8,-23.483961159476365,-20.983624248793568,2.5003369106827975,4.0663967467156805,2.2867612499669243,0.6870979273027524,0.8518686869311278,1.6715418038682517,2.0
N3,F4,8,-23.483961159476365,-3.45128163215564,20.032679527320724,4.0663967467156805,0.040574475025387795,0.6870979273027524,1.0681959728431771,1.6715418038682517,2.0
N3,F6,8,-23.483961159476365,-20.383437184945493,3.100523974530873,4.0663967467156805,1.9916701631264344,0.6870979273027524,0.8608104452730986,1.6715418038682517,2.0
N3,F7,8,-23.483961159476365,-2.874082806306588,20.609878353169776,4.0663967467156805,0.035349800773726424,0.6870979273027524,0.9339273974161484,1.6715418038682517,1.9087953726731368
