domain,series,filter,optimizer,model,seed,t_conv,conv,slope,floor_p50,floor_p10,floor_p90,auc,final_grad,holdout,alpha_hat,hurst_hat
electricity_load,s53,F0,sgd,classification,3,1735,1,-1.5249047551958617,0.0009503113001819601,0.00081032493161013,0.0010883165442962849,-2.5012289301294626,0.0007981170342580916,0.8651799290420679,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,regression,0,87,1,-0.9457178395683202,0.0012517039305438246,0.0002654567174489361,0.004557412507361895,-2.854045800860998,0.00024702775582464287,0.14985778072506056,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,regression,1,84,1,-0.2023929751304948,0.0011949443652830522,0.00020720470774727683,0.004207570289199694,-2.868312652597604,0.0027069168034759526,0.15011127580446432,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,regression,2,79,1,0.21435586589176991,0.0013101419342251498,0.00028386414570958566,0.004676537973203143,-2.8609818869329047,0.0007312031245766634,0.15154975991767405,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,regression,3,86,1,0.5821569883453788,0.0011719540618264747,0.0002361182848729373,0.004678431072635287,-2.8460079178900077,0.0047189720341292785,0.14967090116817297,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,classification,0,306,1,-3.629097742117165,4.114881008050697e-05,9.442072954736358e-06,0.00017261204810797666,-3.7658886653448036,2.5686350342029148e-05,0.8831728332488596,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,classification,1,298,1,-0.17929442218752192,4.566446586991104e-05,6.193678485750622e-06,0.00017799012607103937,-3.8070624664439356,4.677173927282067e-05,0.8822858590978205,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,classification,2,289,1,0.215644290759105,3.002383755513936e-05,8.94003698227764e-06,0.00013924833084791636,-3.899880462985478,7.112265604989527e-06,0.8805119107957425,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,adam,classification,3,297,1,-0.10661635547888029,3.908358453189269e-05,1.4757486921352615e-05,0.0001563295680068921,-3.809071485714469,3.224307429026029e-05,0.8826659908768373,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,regression,0,146,1,-2.2061138320927762,0.00012147040065222381,8.002682031797305e-05,0.0002697428366553696,-3.2450066096522523,0.00011390511180415381,0.8234656947901202,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,regression,1,150,1,-1.563793063493855,0.00011675409086667814,7.355957426530857e-05,0.0002985229311967788,-3.2519871726139007,0.0002903980671163934,0.8210214709847631,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,regression,2,136,1,-0.9481880979997079,0.00010196199582755424,6.604537273869762e-05,0.00024390079293886926,-3.308749487363016,5.320526483755822e-05,0.8229657843804621,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,regression,3,141,1,-0.8537409928443177,0.00011415968041384513,7.632152887813817e-05,0.0002893436013151304,-3.2625450375261753,5.562726230323344e-05,0.8232359031023215,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,classification,0,2072,1,-1.4555227105066513,0.0015566821622721371,0.0013491604346991637,0.001769779341157731,-2.3750606537749226,0.0013093564045875642,0.6458438925494171,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,classification,1,2059,1,-1.3151863002591984,0.001482706931148161,0.0013252141513140215,0.0016694154823603358,-2.3856305766479338,0.0012964395219294718,0.6459706031424227,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,classification,2,2027,1,-1.3784451497107564,0.0014991100666727878,0.0013298425448046896,0.0017033948651113064,-2.382997335318235,0.001289192544400652,0.646477445514445,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,sgd,classification,3,2005,1,-1.35431750758252,0.0015403477122116643,0.0013450687346490547,0.0017416021260506524,-2.3819336247104457,0.0013133659488672542,0.6459706031424227,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,regression,0,74,1,-0.5476568266918299,0.0007698111449667569,0.00010248974345428305,0.0033094682202653852,-3.1016534837775507,0.0010832771538691276,0.811981972578763,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,regression,1,75,1,-0.886467126051205,0.0006459348906582721,8.686048619268921e-05,0.0033627160061648095,-3.092175215784007,0.0020369936798257837,0.8110361522528957,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,regression,2,72,1,-0.140117535029318,0.0007213247443850171,0.00011244862527348906,0.0036087853483700062,-3.091957327864498,0.0002314427382569987,0.816692258849122,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,regression,3,75,1,0.43206549336272965,0.000633792068262246,0.00010190267119779442,0.0032235030419426733,-3.1036479531333256,0.0015110457948395942,0.8309913885269796,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,classification,0,309,1,-2.538952627309369,3.759917488675102e-05,2.729685229077383e-05,9.395966184789711e-05,-3.768571061583539,3.0882987241065055e-05,0.6594019260010137,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,classification,1,306,1,-0.06011111314671574,5.1898840629884614e-05,2.7357206168365463e-05,0.00013057627005129448,-3.7715948654781686,2.4037328593114646e-05,0.6590217942219969,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,classification,2,294,1,-1.6711125252449517,3.4565859551018956e-05,2.439441951351075e-05,8.125171045649459e-05,-3.8046539053259374,2.4349214234090652e-05,0.6611758743030918,1.6678235294117645,0.0912704752994491
electricity_load,s53,F4,adam,classification,3,297,1,-2.31704706080862,4.678354941444986e-05,2.4104031625246738e-05,6.918464586061401e-05,-3.764996945018855,4.5434789871543774e-05,0.6594019260010137,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,regression,0,163,1,-2.3381900535106177,0.00013254581886412137,9.483364744193344e-05,0.0002483844971325716,-3.231490178032286,0.00011425312543100984,0.5320973244104918,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,regression,1,171,1,-1.5597791726009893,0.00014236898248394387,9.444852629419379e-05,0.0002984369534439335,-3.2209359913965874,0.00025934632643956297,0.5346239959716496,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,regression,2,152,1,-1.0820401839673994,0.00011487775573215178,8.024490222203886e-05,0.00023208572419958567,-3.2870639472128196,6.3423121145274e-05,0.532664182248105,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,regression,3,158,1,-1.327998896853076,0.0001321709650745611,9.156695248667002e-05,0.00027261384913598744,-3.236280809785896,8.073083122389738e-05,0.5332030958417843,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,classification,0,2119,1,-1.2784776541061962,0.0015772701586481144,0.001389492691357254,0.0017675726103285581,-2.388079579206408,0.0013524853570542894,0.7151545869234668,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,classification,1,2099,1,-1.1616071292301888,0.0015088485291377717,0.0013646933095436446,0.0016777304257634183,-2.398669176233114,0.0013385756521630589,0.7146477445514445,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,classification,2,2063,1,-1.2199999435475686,0.001524815915234135,0.0013689031416216203,0.0017080931222847853,-2.3953552604450716,0.0013313967595960877,0.7161682716675114,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,sgd,classification,3,2049,1,-1.1918330090207856,0.0015602035764850889,0.0013824022656705114,0.0017392343135032267,-2.39420862919712,0.001353059669660419,0.7152812975164724,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,regression,0,74,1,-0.44988144109785566,0.000694214247333148,8.034330834764942e-05,0.0026542168979797197,-3.1875193577458005,0.0007597172598965642,0.5153298383592968,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,regression,1,75,1,-0.4991555935854297,0.0005009695026183577,7.542644579911323e-05,0.0027554439978293077,-3.1826552391236755,0.0015991513147663064,0.5196051178228988,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,regression,2,72,1,0.3869264457265022,0.0005996006157922021,8.73299782462242e-05,0.0030867948317840283,-3.1767820532948017,0.00012860824519303558,0.5145777562032628,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,regression,3,75,1,1.1917386109804962,0.0005394657709455132,8.164496783702387e-05,0.002774776909612578,-3.1833318107430864,0.00023799009019624348,0.5312209742808512,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,classification,0,314,1,-2.3176001794480423,3.947118949628016e-05,2.9381385853437206e-05,8.865144611889979e-05,-3.7669689162255695,3.480829827787478e-05,0.7498732894069944,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,classification,1,312,1,0.15400672999646037,5.018840864770601e-05,3.1642877018459164e-05,0.00012234906378743516,-3.770346221140868,2.6493384813464282e-05,0.7474657881398885,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,classification,2,305,1,-1.7651666679370468,3.480107749638966e-05,2.5801154898944134e-05,7.729454049530221e-05,-3.799553246557425,2.505815147573798e-05,0.7493664470349721,1.6678235294117645,0.0912704752994491
electricity_load,s53,FA,adam,classification,3,302,1,-2.295554324521986,4.759253349260637e-05,2.589433368681085e-05,6.654883728009684e-05,-3.7624863777425444,4.3792459575259925e-05,0.7501267105930056,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,regression,0,77,1,-2.0752933808253506,5.367153679847919e-05,4.067982153811639e-05,0.0001300891139058461,-3.9856395155863655,3.8699062668038026e-05,0.7095534549203816,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,regression,1,77,1,0.3767917771498599,6.027931652264054e-05,3.572901908133785e-05,0.0001676466324507657,-3.9856185583418258,0.00012582270996240152,0.7093549268340659,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,regression,2,76,1,-0.28199522755120254,5.1946651684487956e-05,3.483936199184312e-05,0.00012610665000238995,-4.007677595037026,3.178311471416424e-05,0.7075762859217092,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,regression,3,75,1,0.8460780243879144,5.5639512107728836e-05,3.79690422272524e-05,0.00014682682374243504,-4.011274482172413,6.399475764137059e-05,0.7093221391543658,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,classification,0,1997,1,-1.6635012518993502,0.0010898165207004129,0.0009503839273869804,0.0012862951135648017,-2.3763574044013507,0.0009217364265151537,0.6983020780537252,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,classification,1,1959,1,-1.6805463087237866,0.0010362220061693414,0.0008952353923506168,0.0012243454126535677,-2.390457135077902,0.0008724209161061801,0.6983020780537252,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,classification,2,1977,1,-1.5196523041724368,0.001114669421702998,0.000982936305583652,0.0012899451871274238,-2.376327989410329,0.0009461058622986586,0.6984287886467309,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,sgd,classification,3,1983,1,-1.6135055469200792,0.0011055928671797385,0.0009484252030543301,0.0012878517749114287,-2.3757962643576622,0.0009285155386305325,0.6983020780537252,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,regression,0,20,1,-0.5828213985002286,0.00036488531114783657,1.913669445253119e-05,0.001723148807868819,-3.5740869987455817,0.00018270103806728797,0.663328597280069,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,regression,1,20,1,-0.14983176467134937,0.0003213379837254264,1.696362481871379e-05,0.0017151792060772953,-3.561556601259078,0.0017662144877177073,0.6901666219734072,1.6678235294117645,0.0912704752994491
