block,model,noise,optimizer,filter,seed,steps,conv100,t_drop100,t_eps,eps_hit,slope,floor_p10,floor_p50,floor_p90,auc,holdout,elapsed_s
A,quadratic,N1,sgd,F1,8,4000,1,275,242,1,-0.13263719773422886,0.001019044125517434,0.0015271027448187518,0.0022363400698119764,-2.6355109572557303,0.0185344304889574,0.03160187503090128
A,quadratic,N1,sgd,F1,9,4000,1,293,226,1,1.169553698845803,0.0010169456000421295,0.001623265278505621,0.002300167714655751,-2.7167739328389677,0.01600565255897708,0.0557514579850249
A,quadratic,N1,sgd,F1,10,4000,1,317,186,1,-0.6680809549895259,0.0007747519845256828,0.0012114623334778009,0.0019171912783937808,-2.7291511556879815,0.017952762514454965,0.031284374999813735
A,quadratic,N1,sgd,F1,11,4000,1,305,241,1,-0.49524467600028227,0.0012809053504660266,0.0017553727153867022,0.002328859137412578,-2.664755767600183,0.015245781475633227,0.03971174999605864
A,quadratic,N1,sgd,F1,12,4000,1,317,269,1,0.30003687690319014,0.0010576996631839729,0.001788413332930352,0.002740957882659448,-2.6319618456527185,0.01448039064877135,0.06541633402230218
A,quadratic,N1,sgd,F1,13,4000,1,255,240,1,0.4983089463546794,0.0009724565936018914,0.0016621651722365056,0.002339569785628569,-2.6881820902394047,0.013985803289293157,0.047690709005109966
A,quadratic,N1,sgd,F1,14,4000,1,262,219,1,-0.18548176350237447,0.0011476478589093671,0.0015974325470931453,0.0022307935678852974,-2.6705479342377405,0.02457217574431295,0.03852299996651709
A,quadratic,N1,sgd,F1,15,4000,1,245,227,1,-0.24122835291642672,0.0008352620689730656,0.0014877986958037029,0.0022868439451884277,-2.6905720669359914,0.015802926629483093,0.038952959002926946
A,quadratic,N1,sgd,F1,16,4000,1,258,230,1,0.2376499318565909,0.0009143945922942966,0.0015978000885943145,0.002769318525370766,-2.6644833128213445,0.014086927389097883,0.04459233401576057
A,quadratic,N1,sgd,F1,17,4000,1,232,176,1,-1.139957651024068,0.0010207204281787677,0.0015138538792272812,0.0021990425449303266,-2.679294988886191,0.017420830460323358,0.03372462501283735
A,quadratic,N1,sgd,F1,18,4000,1,360,255,1,0.44594841736962154,0.0010708188431841782,0.0017826751920194941,0.002686808775877638,-2.659714487121544,0.022149999160432244,0.033959208987653255
A,quadratic,N1,sgd,F1,19,4000,1,268,252,1,-1.5185911615724326,0.0008960915420856008,0.0015224786600026453,0.002174224773710819,-2.682807574880465,0.01869670273351917,0.030609916953835636
