data,ticker,filter,optimizer,t_conv,final_grad,steps
5min,BTC-USD,F3,adam,65,1.7592631659918027e-46,4000
5min,BTC-USD,F3,adamw,65,4.8089819740984313e-26,4000
5min,BTC-USD,F4,sgd,4000,2.6949341807451737e-13,4000
5min,BTC-USD,F4,adam,142,3.5177821838932395e-45,4000
5min,BTC-USD,F4,adamw,142,1.2471214680542003e-24,4000
5min,BTC-USD,FA,sgd,4000,1.2081729989916915e-13,4000
5min,BTC-USD,FA,adam,135,5.322286144376243e-45,4000
5min,BTC-USD,FA,adamw,135,7.7748111532335395e-25,4000
5min,ETH-USD,F0,sgd,4000,3.3230826632159326e-14,4000
5min,ETH-USD,F0,adam,45,4.6617828947019675e-45,4000
5min,ETH-USD,F0,adamw,45,1.1887205247770848e-27,4000
5min,ETH-USD,F1,sgd,4000,1.0815321368465584e-12,4000
5min,ETH-USD,F1,adam,194,1.511676007734287e-44,4000
5min,ETH-USD,F1,adamw,194,4.002581406620524e-24,4000
5min,ETH-USD,F2,sgd,4000,2.234668939098227e-14,4000
5min,ETH-USD,F2,adam,174,5.0507071185811184e-23,4000
5min,ETH-USD,F2,adamw,174,5.762390053549484e-23,4000
5min,ETH-USD,F3,sgd,4000,1.9560574354763913e-15,4000
5min,ETH-USD,F3,adam,55,4.0550987156543554e-47,4000
5min,ETH-USD,F3,adamw,55,2.148473309562203e-26,4000
5min,ETH-USD,F4,sgd,4000,6.8778593262075e-13,4000
5min,ETH-USD,F4,adam,146,9.517445779394107e-45,4000
5min,ETH-USD,F4,adamw,146,2.065881746286112e-24,4000
5min,ETH-USD,FA,sgd,4000,2.7007385419712143e-13,4000
5min,ETH-USD,FA,adam,130,5.8396299720342e-45,4000
5min,ETH-USD,FA,adamw,130,9.863260500684594e-25,4000
5min,EURUSD=X,F0,sgd,4000,3.005051062946491e-17,4000
5min,EURUSD=X,F0,adam,49,4.7028254304422866e-48,4000
5min,EURUSD=X,F0,adamw,49,2.6445560179101086e-27,4000
5min,EURUSD=X,F1,sgd,4000,5.052003053282251e-16,4000
5min,EURUSD=X,F1,adam,431,2.557155861069723e-28,4000
5min,EURUSD=X,F1,adamw,431,7.121373553646122e-25,4000
5min,EURUSD=X,F2,sgd,4000,9.170958619030057e-18,4000
5min,EURUSD=X,F2,adam,2152,3.8350387294953965e-21,4000
5min,EURUSD=X,F2,adamw,2155,3.8532203707523495e-21,4000
5min,EURUSD=X,F3,sgd,4000,6.807333612899186e-18,4000
5min,EURUSD=X,F3,adam,267,2.696907455439283e-46,4000
5min,EURUSD=X,F3,adamw,267,3.841065164194823e-26,4000
5min,EURUSD=X,F4,sgd,4000,4.659638579877038e-16,4000
5min,EURUSD=X,F4,adam,299,6.352782053371248e-41,4000
5min,EURUSD=X,F4,adamw,299,4.305027791110683e-25,4000
5min,EURUSD=X,FA,sgd,4000,2.6831158244348164e-16,4000
5min,EURUSD=X,FA,adam,387,3.230930484530657e-32,4000
5min,EURUSD=X,FA,adamw,387,4.244173864990215e-25,4000
5min,GBPUSD=X,F0,sgd,4000,1.8114810975493766e-17,4000
5min,GBPUSD=X,F0,adam,39,2.1865648825734487e-48,4000
5min,GBPUSD=X,F0,adamw,39,9.828633713008586e-28,4000
5min,GBPUSD=X,F1,sgd,4000,8.615551540877997e-16,4000
5min,GBPUSD=X,F1,adam,387,1.1274871639972738e-29,4000
5min,GBPUSD=X,F1,adamw,388,7.589206873578048e-25,4000
5min,GBPUSD=X,F2,sgd,4000,1.6401996240693213e-17,4000
5min,GBPUSD=X,F2,adam,1619,4.1309419335986405e-21,4000
5min,GBPUSD=X,F2,adamw,1621,4.1562166710336616e-21,4000
5min,GBPUSD=X,F3,sgd,4000,2.1035771504079672e-17,4000
5min,GBPUSD=X,F3,adam,201,2.6696860382874956e-46,4000
5min,GBPUSD=X,F3,adamw,201,6.060797031814321e-26,4000
5min,GBPUSD=X,F4,sgd,4000,7.319465980846541e-16,4000
5min,GBPUSD=X,F4,adam,309,7.118422076622234e-39,4000
5min,GBPUSD=X,F4,adamw,309,5.286503574618168e-25,4000
5min,GBPUSD=X,FA,sgd,4000,3.919159183748043e-16,4000
5min,GBPUSD=X,FA,adam,366,8.283719474575247e-33,4000
5min,GBPUSD=X,FA,adamw,366,4.737559593673745e-25,4000
5min,JPM,F0,sgd,4000,1.0837390171438197e-14,4000
5min,JPM,F0,adam,48,1.7326248006782195e-46,4000
5min,JPM,F0,adamw,48,4.8144613114505e-27,4000
5min,JPM,F1,sgd,4000,1.0058695444323755e-13,4000
5min,JPM,F1,adam,215,5.879801449852298e-45,4000
5min,JPM,F1,adamw,215,1.5878752400274245e-24,4000
5min,JPM,F2,sgd,4000,1.648484539086255e-15,4000
5min,JPM,F2,adam,330,1.807313826518046e-21,4000
5min,JPM,F2,adamw,330,1.841496649357053e-21,4000
5min,JPM,F3,sgd,4000,1.083739017143821e-14,4000
5min,JPM,F3,adam,48,2.0105058778418842e-46,4000
5min,JPM,F3,adamw,48,4.8144613095700455e-27,4000
5min,JPM,F4,sgd,4000,3.5796217827600535e-14,4000
5min,JPM,F4,adam,167,3.971645234469746e-45,4000
5min,JPM,F4,adamw,167,7.840595970213229e-25,4000
5min,JPM,FA,sgd,4000,4.9071718702103484e-14,4000
5min,JPM,FA,adam,162,4.0182465913430706e-45,4000
5min,JPM,FA,adamw,162,8.530613307586666e-25,4000
5min,JPY=X,F0,sgd,4000,4.796812396495428e-18,4000
5min,JPY=X,F0,adam,12,9.017069776758403e-49,4000
5min,JPY=X,F0,adamw,12,5.087598239969606e-28,4000
5min,JPY=X,F1,sgd,4000,8.26502322587528e-16,4000
5min,JPY=X,F1,adam,400,2.3941754580955948e-28,4000
5min,JPY=X,F1,adamw,400,7.83799402511055e-25,4000
5min,JPY=X,F2,sgd,4000,1.7905073388372834e-17,4000
5min,JPY=X,F2,adam,1660,4.2204440384557944e-21,4000
5min,JPY=X,F2,adamw,1661,4.2488379796616935e-21,4000
5min,JPY=X,F3,sgd,4000,2.3373512052173043e-19,4000
5min,JPY=X,F3,adam,98,4.3578171624137215e-49,4000
5min,JPY=X,F3,adamw,98,4.7736661436734345e-28,4000
5min,JPY=X,F4,sgd,4000,6.274631378224821e-16,4000
5min,JPY=X,F4,adam,321,3.4233274332387685e-37,4000
5min,JPY=X,F4,adamw,321,5.225372005430744e-25,4000
5min,JPY=X,FA,sgd,4000,2.1171496046585603e-16,4000
5min,JPY=X,FA,adam,394,5.851597772756646e-32,4000
5min,JPY=X,FA,adamw,394,3.8478268430696505e-25,4000
5min,MSFT,F0,sgd,4000,4.5207792560339736e-15,4000
5min,MSFT,F0,adam,42,2.5639748120363542e-46,4000
5min,MSFT,F0,adamw,42,1.5319565113691943e-27,4000
5min,MSFT,F1,sgd,4000,1.3837774177085906e-13,4000
5min,MSFT,F1,adam,208,5.893755280170115e-45,4000
5min,MSFT,F1,adamw,208,1.6480232590724779e-24,4000
5min,MSFT,F2,sgd,4000,3.1299928206540167e-15,4000
5min,MSFT,F2,adam,237,1.1966840853714783e-21,4000
5min,MSFT,F2,adamw,237,1.2251314547740063e-21,4000
5min,MSFT,F3,sgd,4000,4.520779256033985e-15,4000
5min,MSFT,F3,adam,42,4.3477919545754445e-47,4000
5min,MSFT,F3,adamw,42,1.531956513871761e-27,4000
5min,MSFT,F4,sgd,4000,4.693704111729656e-14,4000
5min,MSFT,F4,adam,164,4.3403596999100925e-45,4000
5min,MSFT,F4,adamw,164,8.1764184434524395e-25,4000
5min,MSFT,FA,sgd,4000,5.900547846740487e-14,4000
5min,MSFT,FA,adam,158,3.864536940204463e-47,4000
5min,MSFT,FA,adamw,158,8.792228906479584e-25,4000
5min,QQQ,F0,sgd,4000,7.519064624021195e-16,4000
5min,QQQ,F0,adam,62,3.825251219740529e-48,4000
5min,QQQ,F0,adamw,62,8.354062075698648e-28,4000
5min,QQQ,F1,sgd,4000,2.9727558843082434e-14,4000
5min,QQQ,F1,adam,226,4.6473058303414434e-45,4000
5min,QQQ,F1,adamw,227,1.1434317667138479e-24,4000
5min,QQQ,F2,sgd,4000,7.655844502934902e-16,4000
5min,QQQ,F2,adam,320,3.591827045341842e-21,4000
5min,QQQ,F2,adamw,320,3.632545922206591e-21,4000
5min,QQQ,F3,sgd,4000,7.519064624021208e-16,4000
5min,QQQ,F3,adam,62,4.704774438052016e-48,4000
5min,QQQ,F3,adamw,62,8.354062076717608e-28,4000
5min,QQQ,F4,sgd,4000,8.222922896238733e-15,4000
5min,QQQ,F4,adam,185,3.300688086694798e-45,4000
5min,QQQ,F4,adamw,185,6.038918922297135e-25,4000
5min,QQQ,FA,sgd,4000,1.2506424285814397e-14,4000
5min,QQQ,FA,adam,175,3.767178447316694e-45,4000
5min,QQQ,FA,adamw,175,6.427065166263038e-25,4000
5min,SPY,F0,sgd,4000,3.747946559844315e-16,4000
5min,SPY,F0,adam,66,3.511343458695622e-48,4000
5min,SPY,F0,adamw,66,9.511056516229209e-28,4000
5min,SPY,F1,sgd,4000,1.2718062123146695e-14,4000
