model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
quadratic,adam,F6,5,4000,0,4000,48.14860831319956,34.97136704270272,62.85271326565603,1.5838104678809186,63.34694778075356
quadratic,adam,F6,6,4000,0,4000,38.92399994968993,27.279487793538756,48.30353796350652,1.4259900960418104,46.57203790732243
quadratic,adam,F6,7,4000,0,4000,44.77551019918999,40.25929989333722,50.62134761740154,1.6459903104832236,35.550271420020785
logistic,sgd,F0,0,4000,0,4000,0.2851584358383804,0.28262839961626407,0.2861730726076431,-0.534411396281936,0.28896080013710884
logistic,sgd,F0,1,4000,0,4000,0.4025103405364201,0.39685130510132555,0.40475239272487307,-0.4588202080759894,0.40237703363716426
logistic,sgd,F0,2,4000,0,4000,0.31474302098900064,0.30370242958260235,0.3210952422525377,-0.4986449042685323,0.30214518827492653
logistic,sgd,F0,3,4000,0,4000,0.3818164492230314,0.3592444318718961,0.4029799821033256,-0.4575379703038966,0.3533384253607086
logistic,sgd,F0,4,4000,0,4000,0.15363232498685298,0.15037216874395848,0.15412787620744087,-0.784299132961469,0.1495961982644092
logistic,sgd,F0,5,4000,0,4000,0.26680443148440813,0.24148094859141714,0.29776522497851543,-0.5568057422432436,0.2360523265613588
logistic,sgd,F0,6,4000,0,4000,0.27904713904736317,0.2563212635271253,0.2994793357678706,-0.4885809143937594,0.25401027034150764
logistic,sgd,F0,7,4000,0,4000,0.33729460303616643,0.33164908576491264,0.34594973245155725,-0.4452424687573182,0.33037607115377965
logistic,sgd,F1,0,4000,0,4000,0.28472407857025656,0.28256713381041243,0.28576410701742405,-0.5352245220329447,0.2888339259448077
logistic,sgd,F1,1,4000,0,4000,0.4025095538403641,0.3961057630363112,0.4047688586694365,-0.4592264433463099,0.40243542511467123
logistic,sgd,F1,2,4000,0,4000,0.3146686965039895,0.303438592401046,0.32094338996947963,-0.5007274456056354,0.301820310818094
