domain,model,optimizer,filter,n_cells,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0
macro_fred,classification,sgd,F1,24,850.0,1.0,0.0009034386621340294,-1.4265510128107373,-2.511771019390532,0.9840686274509804,1.9978406173916812,0.5105418743251077,0.9388235294117647,0.7621917450113269
macro_fred,classification,sgd,F10,24,887.5,1.0,0.0009590667876956322,-1.384454468787377,-2.494084896942008,0.9571078431372548,1.9978406173916812,0.5105418743251077,0.8991549295774648,0.7179828341852301
macro_fred,classification,sgd,F11,24,798.0,1.0,0.0006885934904026344,-1.5359012045614453,-2.5669583639582108,0.9926470588235294,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,classification,sgd,F2,24,893.5,1.0,0.0009577224087010028,-1.384820817966417,-2.493783421515117,0.9583333333333333,1.9978406173916812,0.5105418743251077,0.8931169557918299,0.7189906847189692
macro_fred,classification,sgd,F4,24,828.5,1.0,0.0008308890250643906,-1.44513756295168,-2.5231760810480766,0.9889705882352942,1.9978406173916812,0.5105418743251077,0.9631864815932408,0.8287430326201158
macro_fred,classification,sgd,F7,24,825.5,1.0,0.0008013021359065022,-1.4610327787743655,-2.527023074186864,0.991421568627451,1.9978406173916812,0.5105418743251077,0.966686856450636,0.8593431360614532
macro_fred,classification,sgd,FA,24,821.0,1.0,0.000791755886276034,-1.4627893312643925,-2.5300055519734244,0.991421568627451,1.9978406173916812,0.5105418743251077,0.9719853836784409,0.8697042893376943
macro_fred,regression,adam,F0,24,20.0,1.0,0.0007417636181713765,0.16099464391758964,-3.2484417354956268,0.007697386815824773,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,regression,adam,F1,24,20.0,1.0,0.0007492751848997554,0.0469160358720107,-3.309804460577739,0.034149834728478365,1.9978406173916812,0.5105418743251077,1.0,0.9899748892266012
macro_fred,regression,adam,F10,24,20.0,1.0,0.0007141954052517839,-0.06889423306588383,-3.3841633987782758,0.12074473043622956,1.9978406173916812,0.5105418743251077,1.0,1.0386003784354698
macro_fred,regression,adam,F11,24,20.0,1.0,0.0007417636181713765,0.16099464391758964,-3.2484417354956268,0.007697386815824773,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,regression,adam,F2,24,20.0,1.0,0.000714071721684123,-0.06059524774656635,-3.3844850565285465,0.11317644193148028,1.9978406173916812,0.5105418743251077,1.0,1.0387802732503435
macro_fred,regression,adam,F4,24,20.0,1.0,0.0007552872227141072,0.11458682921435433,-3.277811220793341,0.027573109109983944,1.9978406173916812,0.5105418743251077,1.0,0.9820947526503441
