task,filter,noise,optimizer,clip,seed,t_eps,final_grad_norm_sq,final_loss,final_alpha_hat,elapsed_s
quadratic,F2,N4,adam,False,5,-1,50.42919670177691,3.0552432102491656,,6.7417935590056
quadratic,F2,N4,adam,True,0,-1,47.325227534362384,2.6297929600805094,2.0,6.745343574999424
quadratic,F2,N4,adam,True,1,-1,125.95015248069063,6.803137682221425,2.0,7.075581037999655
quadratic,F2,N4,adam,True,2,-1,37.01216185007216,3.871027813988837,1.1115832672712116,6.7583799099957105
quadratic,F2,N4,adam,True,3,-1,22.276795737586653,1.7954013094454968,2.0,6.721371628998895
quadratic,F2,N4,adam,True,4,-1,30.68448742882305,2.091213530391365,2.0,6.725214967998909
quadratic,F2,N4,adam,True,5,-1,50.42919670177691,3.0552432102491656,2.0,3.979206942996825
quadratic,F4,N3,sgd,False,0,-1,0.8791801461809352,-0.06964968829728796,,6.729846781003289
quadratic,F4,N3,sgd,False,1,-1,0.5884556370825635,0.005482274798057074,,9.645806373999221
quadratic,F4,N3,sgd,False,2,-1,0.7949464466202995,-0.013383982426605406,,6.65183871499903
quadratic,F4,N3,sgd,False,3,-1,0.8053631000137563,0.05364986175705275,,6.48280857699865
quadratic,F4,N3,sgd,False,4,-1,0.411304298609042,-0.016048780296184145,,6.639347556003486
quadratic,F4,N3,sgd,False,5,-1,0.44805375742940096,-0.04967268310330697,,10.131809475999034
quadratic,F4,N3,sgd,True,0,-1,0.8791801461809352,-0.06964968829728796,2.0,10.23114511300082
quadratic,F4,N3,sgd,True,1,-1,0.5884556370825635,0.005482274798057074,2.0,10.235187420003058
quadratic,F4,N3,sgd,True,2,-1,0.7949464466202995,-0.013383982426605406,1.7302086336381186,10.261288513000181
quadratic,F4,N3,sgd,True,3,-1,0.8053631000137563,0.05364986175705275,2.0,10.244744905998232
quadratic,F4,N3,sgd,True,4,-1,0.411304298609042,-0.016048780296184145,1.936051216102616,10.241514267996536
quadratic,F4,N3,sgd,True,5,-1,0.44805375742940096,-0.04967268310330697,2.0,10.200563329999568
quadratic,F4,N3,adam,False,0,-1,2.852860955379552,0.1222063490434277,,6.823784896005236
quadratic,F4,N3,adam,False,1,-1,2.2920188317232983,0.17706892957265122,,6.555706530001771
quadratic,F4,N3,adam,False,2,-1,2.2665051671804575,0.1437980287047684,,6.401961424999172
quadratic,F4,N3,adam,False,3,-1,2.1166048613763317,0.22225185058837987,,10.119852443000127
quadratic,F4,N3,adam,False,4,-1,0.9924491634318355,0.052688839261427145,,6.577768835006282
