block,model,noise,optimizer,filter,n_seeds,conv100_frac,t_drop100_med,t_eps_med,eps_hit_frac,slope_mean,slope_lo,slope_hi,floor_p50_med,floor_p10_med,floor_p90_med,auc_mean,auc_lo,auc_hi,holdout_mean,holdout_lo,holdout_hi,wall_med,floor_ratio_vs_F0,speedup_vs_F0
A,logistic,N4,clipped_sgd,F2,8,0.0,3000.0,3000.0,0.0,-0.02304146554941077,-0.20491546994088503,0.15612832406366983,0.3288634906082043,0.3183847425302755,0.33900481810993044,-0.5421571017477345,-0.6149379764050752,-0.4931314719527314,0.5000833333333333,0.45141250000000005,0.5571791666666666,0.5927048749981623,1.0002626196982898,1.0
A,logistic,N4,clipped_sgd,F3,8,0.0,3000.0,3000.0,0.0,-0.0315705307050264,-0.21258736705493472,0.14038246998353282,0.32859658956999627,0.31930226523616,0.33983367469027037,-0.5422478864758968,-0.6144102572389513,-0.4933630948950456,0.5005,0.4529145833333333,0.5566729166666666,0.6258490205000271,1.001075078318227,1.0
A,logistic,N4,clipped_sgd,F4,8,0.0,3000.0,3000.0,0.0,-0.028910955350541917,-0.20883319646933787,0.1443085742960276,0.32860103228633386,0.3192090156647453,0.3397375951906473,-0.5434342481561047,-0.6150498152670508,-0.49474581955529445,0.501,0.4539958333333333,0.5566708333333333,0.9227128960010305,1.001061543690613,1.0
A,logistic,N4,normalized_sgd,F0,8,0.0,3000.0,3000.0,0.0,-0.028109195562871215,-0.2109496157306165,0.1450681686113529,0.3287890789998379,0.3197736682030944,0.34021188101308936,-0.5447362547169379,-0.6166780029381039,-0.49588194613935277,0.49924999999999997,0.4509979166666666,0.5554291666666666,0.57744937499956,1.0,1.0
A,logistic,N4,normalized_sgd,F1,8,0.0,3000.0,3000.0,0.0,-0.02718680283400884,-0.2122461794043354,0.14948611870724546,0.3289963774851653,0.31843426324348795,0.3392309829886415,-0.5441668122998731,-0.616791797848611,-0.49513885807049607,0.5005,0.45224375,0.5573333333333332,0.5822555000013381,0.9993699064806975,1.0
A,logistic,N4,normalized_sgd,F2,8,0.0,3000.0,3000.0,0.0,-0.022475083649976503,-0.2046264461035521,0.1560287009326551,0.32876964212895365,0.3183057021524629,0.338914822621845,-0.5441169943244646,-0.616860358404935,-0.4950771996429599,0.5003333333333333,0.45158333333333334,0.5574291666666666,0.669212457996764,1.0000591200293263,1.0
A,logistic,N4,normalized_sgd,F3,8,0.0,3000.0,3000.0,0.0,-0.031141649961977103,-0.21281415633114276,0.14123510860007954,0.32850533760584055,0.3191456957115597,0.33983270385432773,-0.5443569880820011,-0.6166051103168325,-0.49545593283410727,0.5005,0.4528333333333333,0.5566729166666666,0.6086793130016304,1.00086373450144,1.0
A,logistic,N4,normalized_sgd,F4,8,0.0,3000.0,3000.0,0.0,-0.02839937942985919,-0.20949560044520876,0.1443516507379618,0.3285157450288404,0.31908247205094453,0.33970766368553046,-0.5455073784530543,-0.6172125789146083,-0.4967945122114362,0.5010833333333333,0.45407708333333335,0.5567520833333334,0.9999439165003423,1.0008320270036783,1.0
A,logistic,N4,sgd,F0,8,0.0,3000.0,3000.0,0.0,-0.024045451844988908,-0.2070729262609923,0.1588563512235915,0.33563357300324137,0.32772084850611294,0.343260991318488,-0.5189729564256913,-0.5927106712463936,-0.47020263035822357,0.48241666666666666,0.4329083333333333,0.5400833333333334,0.5267461045004893,1.0,1.0
A,logistic,N4,sgd,F1,8,0.0,3000.0,3000.0,0.0,-0.020644953558713423,-0.2057330494639179,0.1644803344669268,0.3356084035619512,0.3278850494749008,0.34312610815841094,-0.5198545400022068,-0.5932993247994449,-0.4714522664351205,0.4825,0.4330791666666667,0.5400833333333334,0.5340184165033861,1.000074996457249,1.0
A,logistic,N4,sgd,F2,8,0.0,3000.0,3000.0,0.0,-0.011132017857719737,-0.20213001543468292,0.1799224124651059,0.3365828146389813,0.32845115695459115,0.3423922129769664,-0.5218872734136801,-0.5946564301099514,-0.4742511718071603,0.4830833333333333,0.43374583333333333,0.5405145833333332,0.5464477294990502,0.9971797679665906,1.0
A,logistic,N4,sgd,F3,8,0.0,3000.0,3000.0,0.0,-0.02401155868436048,-0.2067351562057838,0.15914640606163605,0.33566421836917604,0.3276366603166442,0.3432211296729558,-0.5189033933918461,-0.5926700094215518,-0.4702507133652193,0.4825,0.43298958333333326,0.5400833333333334,0.6454645835037809,0.9999087023154164,1.0
A,logistic,N4,sgd,F4,8,0.0,3000.0,3000.0,0.0,-0.016949238970115917,-0.20373607593418355,0.1698901198017879,0.3353422662136718,0.32727940714220227,0.3425056172041544,-0.5217270595306509,-0.594386021158622,-0.47350809178972897,0.4840833333333333,0.43424375,0.5413458333333333,0.866228228998807,1.0008686849792563,1.0
A,quadratic,N1,clipped_sgd,F0,8,1.0,324.0,247.0,1.0,-0.1264079650606248,-0.5753235474074196,0.3793390922444186,0.0016361470647896711,0.0010491077828566212,0.0025705912673913596,-2.650545808387484,-2.6602853896780125,-2.6406527508816535,0.019962919778091132,0.01851571787722885,0.021711212699079437,0.030757896001887275,1.0,1.0
A,quadratic,N1,clipped_sgd,F1,8,1.0,325.5,241.0,1.0,-0.16922212169209971,-0.646543180876579,0.36834743726390634,0.001522914463266543,0.0010007227412104228,0.002320077464578194,-2.679823885954667,-2.690354597096216,-2.669132663949968,0.018862068547687516,0.017513442934108565,0.020348208021590784,0.030612770500738407,1.0743525682199198,1.0248962655601659
A,quadratic,N1,clipped_sgd,F2,8,1.0,310.5,231.5,1.0,-0.3248030984659006,-0.9487824813596064,0.3739792442954846,0.001149312916851535,0.0006833383397618121,0.001663361877300982,-2.7993355198626815,-2.811126318834786,-2.7866371730227124,0.017385899013573992,0.01590362580615104,0.01907267168117474,0.04892977099734708,1.4235871195738279,1.0669546436285098
A,quadratic,N1,clipped_sgd,F3,8,1.0,294.0,226.0,1.0,3.9593443500330343,3.1755999762751266,4.718390915156291,0.000654113246343942,0.0004276266358356352,0.0027437000432608835,-3.1145700425937273,-3.1363880859035307,-3.095742159408488,0.03617079648012329,0.033354056363634955,0.0388197333029126,0.03874468800131581,2.5013207941203532,1.092920353982301
A,quadratic,N1,clipped_sgd,F4,8,1.0,309.5,245.5,1.0,-0.08879195859707852,-0.523703640913327,0.3812972558614985,0.00214533094837028,0.0013190463538751795,0.0033493745197692142,-2.5648909969775557,-2.5802674268084056,-2.551503395722981,0.022550757487945102,0.020215743419162904,0.024838000477908597,0.6307751460008149,0.7626548556681128,1.0061099796334012
A,quadratic,N1,normalized_sgd,F0,8,1.0,234.0,150.5,1.0,-0.032883889656793494,-0.3337271559437297,0.2705705757188369,0.0030611241007752637,0.001976387751048066,0.004963198645844812,-2.434317552835738,-2.4444279660622965,-2.4245427233193784,0.027125734662967103,0.02429741553711494,0.029652727829833178,0.03159827149647754,1.0,1.0
A,quadratic,N1,normalized_sgd,F1,8,0.875,485.0,83.0,1.0,0.0840938089303072,-0.011281211851072047,0.1759888320369278,0.009667602884388223,0.006374442084441904,0.014546890964876012,-1.995541290836216,-2.0027710287535863,-1.988189801302211,0.04549290060773981,0.039211266402029134,0.05164752263501881,0.03320012499898439,0.3166373440637012,1.8132530120481927
A,quadratic,N1,normalized_sgd,F2,8,1.0,92.0,64.5,1.0,0.045406314124723096,-0.1379032135477025,0.24668368978261523,0.004132351483348892,0.002613109826391036,0.006153571287416717,-2.3576703473138174,-2.3681586520973075,-2.3481488225291103,0.03482825907881101,0.0308082142269288,0.03876179458472639,0.049272917000052985,0.7407705063593727,2.3333333333333335
A,quadratic,N1,normalized_sgd,F3,8,1.0,68.0,60.0,1.0,5.592717204702334,5.053580761031098,6.101595900647529,0.0010642868659892731,0.0006147906395498083,0.008735483509731799,-3.062844184362233,-3.0699364634342308,-3.054667091248591,0.06705431607379447,0.060783691025871014,0.07300826627236469,0.03679812499831314,2.8762208748389426,2.5083333333333333
A,quadratic,N1,normalized_sgd,F4,8,0.875,386.5,110.5,1.0,0.06437758446767472,-0.08861248463937223,0.2063198091832437,0.009324415364336798,0.005778353928213848,0.014589320532117537,-2.004531545023232,-2.0128266648712794,-1.997100429282063,0.04573929825797088,0.040640064789255984,0.050786784606082935,0.6419583540009626,0.32829126343761794,1.3619909502262444
A,quadratic,N1,sgd,F0,8,1.0,324.0,247.0,1.0,-0.1264079650606248,-0.5753235474074196,0.3793390922444186,0.0016361470647896711,0.0010491077828566212,0.0025705912673913596,-2.650545808387484,-2.6602853896780125,-2.6406527508816535,0.019962919778091132,0.01851571787722885,0.021711212699079437,0.02867370850071893,1.0,1.0
A,quadratic,N1,sgd,F1,8,1.0,325.5,241.0,1.0,-0.16922212169209971,-0.646543180876579,0.36834743726390634,0.001522914463266543,0.0010007227412104228,0.002320077464578194,-2.679823885954667,-2.690354597096216,-2.669132663949968,0.018862068547687516,0.017513442934108565,0.020348208021590784,0.03183654150052462,1.0743525682199198,1.0248962655601659
A,quadratic,N1,sgd,F2,8,1.0,310.5,231.5,1.0,-0.3248030984659006,-0.9487824813596064,0.3739792442954846,0.001149312916851535,0.0006833383397618121,0.001663361877300982,-2.7993355198626815,-2.811126318834786,-2.7866371730227124,0.017385899013573992,0.01590362580615104,0.01907267168117474,0.04447160449853982,1.4235871195738279,1.0669546436285098
A,quadratic,N1,sgd,F3,8,1.0,294.0,226.0,1.0,3.9593443500330343,3.1755999762751266,4.718390915156291,0.000654113246343942,0.0004276266358356352,0.0027437000432608835,-3.1145700425937273,-3.1363880859035307,-3.095742159408488,0.03617079648012329,0.033354056363634955,0.0388197333029126,0.03329414549807552,2.5013207941203532,1.092920353982301
A,quadratic,N1,sgd,F4,8,1.0,309.5,245.5,1.0,-0.08879195859707852,-0.523703640913327,0.3812972558614985,0.00214533094837028,0.0013190463538751795,0.0033493745197692142,-2.5648909969775557,-2.5802674268084056,-2.551503395722981,0.022550757487945102,0.020215743419162904,0.024838000477908597,0.640637541499018,0.7626548556681128,1.0061099796334012
A,quadratic,N2,clipped_sgd,F0,8,0.0,4000.0,4000.0,0.0,-1.099942928861054,-1.8593793517045496,-0.16136970088149358,0.11557088292190974,0.08514301464221027,0.16347963023624995,-0.9096332718202758,-0.9270341470759599,-0.8954068344941662,0.181099119301008,0.17032230792739153,0.19366199866900136,0.07831420850197901,1.0,1.0
A,quadratic,N2,clipped_sgd,F1,8,0.0,4000.0,4000.0,0.0,-1.130324013099208,-1.8941141700472148,-0.19683796417465757,0.11432823339369443,0.08657418738740541,0.16364775281565513,-0.9116665547547633,-0.9293549813501736,-0.8971611670934684,0.1796687118806069,0.16921733837353536,0.19249187921522395,0.07999520849989494,1.0108691395933338,1.0
A,quadratic,N2,clipped_sgd,F2,8,0.0,4000.0,4000.0,0.0,-1.22051375659798,-2.0056299386374765,-0.29911876525335335,0.10858384605114613,0.08749127950730913,0.15413701586805068,-0.9359030027830879,-0.955104734836106,-0.9203462913070719,0.172662647770694,0.16047485275592344,0.18845920547482883,0.09317339550034376,1.064346927511414,1.0
A,quadratic,N2,clipped_sgd,F3,8,0.0,4000.0,4000.0,0.0,-1.017940342780029,-1.813117584807878,-0.008438267683818723,0.09201203452168222,0.08222208784905448,0.13180258664456584,-0.9844039180923596,-1.0034971387346776,-0.9677935086411659,0.1809952949613174,0.1682680243426382,0.19586728130900197,0.08232304199918872,1.2560409464120261,1.0
A,quadratic,N2,clipped_sgd,F4,8,0.0,4000.0,4000.0,0.0,-1.0794592027639098,-1.8380151358814056,-0.1255461697520902,0.11479869737708659,0.08712321248587085,0.1647188875603861,-0.9105114021665383,-0.9285127923705411,-0.8954627864838474,0.18035951534069433,0.1697231486877349,0.19346588213418262,0.6663720830001694,1.0067264312441342,1.0
A,quadratic,N2,normalized_sgd,F0,8,0.0,4000.0,4000.0,0.0,-0.9809286124498798,-1.6879884573675574,-0.10597268725609064,0.13533313439774824,0.09790421191224064,0.1939017251265805,-0.8533855970380175,-0.8688123653877041,-0.8403967514119853,0.19789635444866205,0.18798680492445555,0.20718831665588786,0.07781343750320957,1.0,1.0
A,quadratic,N2,normalized_sgd,F1,8,0.0,4000.0,4000.0,0.0,-0.8248509956962446,-1.4477339651305283,-0.06856712881400251,0.16052081021205447,0.1184951929262511,0.2419815763416013,-0.7733352472825267,-0.7869197814688283,-0.7614842647354844,0.22432627049667955,0.21324624896373878,0.2347145823792813,0.0783301660012512,0.843087785433974,1.0
A,quadratic,N2,normalized_sgd,F2,8,0.0,4000.0,4000.0,0.0,-0.8755712929561148,-1.519833904541592,-0.11780821789424704,0.15165927427949602,0.11864228779974562,0.2202345092317824,-0.7975484394115503,-0.8133973586627602,-0.784722938539137,0.22902669383395316,0.21684098240233152,0.24231513505941366,0.09399443700021948,0.892349874682507,1.0
A,quadratic,N2,normalized_sgd,F3,8,0.0,4000.0,4000.0,0.0,-0.5026817165255916,-1.2196434458643577,0.37583418507602057,0.1260826794506497,0.09168178222880313,0.17109563889156715,-0.8931114498614455,-0.9111615496917593,-0.8779266880338231,0.25224218128587544,0.22778333797030012,0.2780447930393085,0.08200987500094925,1.0733681659320962,1.0
A,quadratic,N2,normalized_sgd,F4,8,0.0,4000.0,4000.0,0.0,-0.8405734439169262,-1.4955579356135418,-0.03729655095137435,0.15400517536783964,0.11495839857299836,0.23003267805781852,-0.795776349899094,-0.809737065524653,-0.7834774946463563,0.21756495061046607,0.2079043449028498,0.22712424092424408,0.689008332999947,0.8787570552386085,1.0
A,quadratic,N2,sgd,F0,8,0.0,4000.0,4000.0,0.0,-1.099942928861054,-1.8593793517045496,-0.16136970088149358,0.11557088292190974,0.08514301464221027,0.16347963023624995,-0.9096332718202758,-0.9270341470759599,-0.8954068344941662,0.181099119301008,0.17032230792739153,0.19366199866900136,0.07199112500165938,1.0,1.0
A,quadratic,N2,sgd,F1,8,0.0,4000.0,4000.0,0.0,-1.130324013099208,-1.8941141700472148,-0.19683796417465757,0.11432823339369443,0.08657418738740541,0.16364775281565513,-0.9116665547547633,-0.9293549813501736,-0.8971611670934684,0.1796687118806069,0.16921733837353536,0.19249187921522395,0.07334529149738955,1.0108691395933338,1.0
