regime,gamma,day,filter,rv_est,iv_true,rel_err
gauss,0.5,25,F2 Kalman,2.3331286035293596e-05,0.0004186825251900546,0.9442745167720991
gauss,0.5,25,F3 Wavelet,4.0266775063627946e-05,0.0004186825251900546,0.9038250401175701
gauss,0.5,25,F4 Median,0.0001591982999532651,0.0004186825251900546,0.6197636863850494
gauss,0.5,25,FA online,8.700099141858847e-05,0.0004186825251900546,0.792202955260443
gauss,0.5,26,F0 raw,0.000554548773205628,0.00039279292571040253,0.4118094723897457
gauss,0.5,26,F1 MA,7.847149015052172e-05,0.00039279292571040253,0.8002217325869636
gauss,0.5,26,F2 Kalman,1.942053840892008e-05,0.00039279292571040253,0.9505578203227663
gauss,0.5,26,F3 Wavelet,3.0033321863015903e-05,0.00039279292571040253,0.9235390459013542
gauss,0.5,26,F4 Median,0.00012013011793459547,0.00039279292571040253,0.694164252787066
gauss,0.5,26,FA online,7.840377181894217e-05,0.00039279292571040253,0.8003941347030584
gauss,0.5,27,F0 raw,0.0006401799174391851,0.000401237332589953,0.5955143388748947
gauss,0.5,27,F1 MA,7.927668553460768e-05,0.000401237332589953,0.8024194682411944
gauss,0.5,27,F2 Kalman,1.741593152062827e-05,0.000401237332589953,0.9565944389864973
gauss,0.5,27,F3 Wavelet,1.982974002977067e-05,0.000401237332589953,0.9505785269237751
gauss,0.5,27,F4 Median,0.0001538722036741744,0.000401237332589953,0.6165057656002686
gauss,0.5,27,FA online,7.408385984677512e-05,0.000401237332589953,0.815361498471316
gauss,0.5,28,F0 raw,0.0005733363622507498,0.0003841812133499743,0.49235918448844734
gauss,0.5,28,F1 MA,8.444637104789201e-05,0.0003841812133499743,0.7801913052657142
gauss,0.5,28,F2 Kalman,1.7036698696572337e-05,0.0003841812133499743,0.9556545242074277
gauss,0.5,28,F3 Wavelet,3.745418909940203e-05,0.0003841812133499743,0.9025090561487641
gauss,0.5,28,F4 Median,0.00015554435228175496,0.0003841812133499743,0.5951276458173398
gauss,0.5,28,FA online,9.591339835497711e-05,0.0003841812133499743,0.7503433405328863
gauss,0.5,29,F0 raw,0.0005417518787482699,0.00036785177634598694,0.4727450391288022
gauss,0.5,29,F1 MA,6.954917095127415e-05,0.00036785177634598694,0.8109315343203374
gauss,0.5,29,F2 Kalman,1.3466681690179292e-05,0.00036785177634598694,0.963391010846953
gauss,0.5,29,F3 Wavelet,1.867815435689899e-05,0.00036785177634598694,0.9492236940040462
gauss,0.5,29,F4 Median,0.0001351151355006469,0.00036785177634598694,0.6326913605180938
gauss,0.5,29,FA online,6.352965799890097e-05,0.00036785177634598694,0.8272954975779498
gauss,0.5,30,F0 raw,0.000596691914776081,0.00036074230567732286,0.6540669208612605
gauss,0.5,30,F1 MA,7.742938924654143e-05,0.00036074230567732286,0.7853609404054746
gauss,0.5,30,F2 Kalman,2.1962364631719743e-05,0.00036074230567732286,0.939118965848811
gauss,0.5,30,F3 Wavelet,2.8582658133358546e-05,0.00036074230567732286,0.9207671024897057
gauss,0.5,30,F4 Median,0.00013431569506978765,0.00036074230567732286,0.627668579603939
gauss,0.5,30,FA online,8.063836800687857e-05,0.00036074230567732286,0.7764654526574767
gauss,0.5,31,F0 raw,0.0006170818058011465,0.0003981691662859042,0.5497980708984702
gauss,0.5,31,F1 MA,9.937849223089391e-05,0.0003981691662859042,0.7504113812782393
gauss,0.5,31,F2 Kalman,2.3585341728548073e-05,0.0003981691662859042,0.9407655244916361
gauss,0.5,31,F3 Wavelet,4.3370296682760695e-05,0.0003981691662859042,0.8910757026032026
gauss,0.5,31,F4 Median,0.0001628245124395451,0.0003981691662859042,0.5910669980843534
gauss,0.5,31,FA online,9.68045240453984e-05,0.0003981691662859042,0.7568758903448385
gauss,0.5,32,F0 raw,0.0005479235214327683,0.0003807842174116581,0.4389344315718298
gauss,0.5,32,F1 MA,7.228241384444703e-05,0.0003807842174116581,0.8101748692848161
gauss,0.5,32,F2 Kalman,1.740818757527774e-05,0.0003807842174116581,0.9542833269361631
gauss,0.5,32,F3 Wavelet,2.42990255910866e-05,0.0003807842174116581,0.9361868888467679
gauss,0.5,32,F4 Median,0.00011596623548957315,0.0003807842174116581,0.695454196400676
gauss,0.5,32,FA online,7.890088152587632e-05,0.0003807842174116581,0.7927937190721901
gauss,0.5,33,F0 raw,0.0006372805966166774,0.00041294602492754123,0.5432539802956082
gauss,0.5,33,F1 MA,0.0001102134718007554,0.00041294602492754123,0.7331044128101382
gauss,0.5,33,F2 Kalman,2.6833252777591165e-05,0.00041294602492754123,0.935019951379119
gauss,0.5,33,F3 Wavelet,5.6022840713824525e-05,0.00041294602492754123,0.864333745012669
gauss,0.5,33,F4 Median,0.00018992791858148225,0.00041294602492754123,0.5400659962405292
gauss,0.5,33,FA online,0.00011086262008480456,0.00041294602492754123,0.7315324197532659
gauss,0.5,34,F0 raw,0.000579537187182473,0.000392301221727027,0.4772760192567777
gauss,0.5,34,F1 MA,8.979834587683322e-05,0.000392301221727027,0.7710984801894979
gauss,0.5,34,F2 Kalman,2.624098787233428e-05,0.000392301221727027,0.933110104126585
gauss,0.5,34,F3 Wavelet,3.39175029614807e-05,0.000392301221727027,0.9135421938984393
gauss,0.5,34,F4 Median,0.00014514439351682814,0.000392301221727027,0.630017992608182
gauss,0.5,34,FA online,9.459741367309119e-05,0.000392301221727027,0.7588653605088326
gauss,0.5,35,F0 raw,0.0005021960945878993,0.0003526234833959216,0.4241708741333012
gauss,0.5,35,F1 MA,8.059223897317044e-05,0.0003526234833959216,0.7714495977493296
gauss,0.5,35,F2 Kalman,2.0123741292342916e-05,0.0003526234833959216,0.9429313637919338
gauss,0.5,35,F3 Wavelet,3.523215440655794e-05,0.0003526234833959216,0.9000856265519909
gauss,0.5,35,F4 Median,0.0001417390562023408,0.0003526234833959216,0.598044194795734
gauss,0.5,35,FA online,8.847594685611773e-05,0.0003526234833959216,0.7490923009322724
gauss,0.5,36,F0 raw,0.0006271214106033207,0.00041174506813572453,0.5230817783507759
gauss,0.5,36,F1 MA,9.06229999934551e-05,0.00041174506813572453,0.7799050747498382
gauss,0.5,36,F2 Kalman,1.8545788755323238e-05,0.00041174506813572453,0.9549580791840597
gauss,0.5,36,F3 Wavelet,3.513412844664005e-05,0.00041174506813572453,0.9146701899655573
gauss,0.5,36,F4 Median,0.00015993747035655917,0.00041174506813572453,0.6115619038724257
gauss,0.5,36,FA online,9.502579049809812e-05,0.00041174506813572453,0.7692120735571882
gauss,0.5,37,F0 raw,0.0005592296522848317,0.000421161128259461,0.3278282698974821
gauss,0.5,37,F1 MA,9.813385302713e-05,0.000421161128259461,0.7669921404363947
gauss,0.5,37,F2 Kalman,2.0910432118410723e-05,0.000421161128259461,0.9503505173784019
gauss,0.5,37,F3 Wavelet,4.152126040403194e-05,0.000421161128259461,0.901412410552637
gauss,0.5,37,F4 Median,0.00018006813508991945,0.000421161128259461,0.572448350506397
gauss,0.5,37,FA online,0.000100152127562821,0.000421161128259461,0.7621999732579281
gauss,0.5,38,F0 raw,0.0006159921269574971,0.00038428132227544135,0.6029718106256864
gauss,0.5,38,F1 MA,8.366122040960395e-05,0.00038428132227544135,0.7822917337896582
gauss,0.5,38,F2 Kalman,1.622030559509132e-05,0.00038428132227544135,0.957790543919631
gauss,0.5,38,F3 Wavelet,2.3138233907256575e-05,0.00038428132227544135,0.9397882942365026
gauss,0.5,38,F4 Median,0.00016094573377795575,0.00038428132227544135,0.5811773186764599
gauss,0.5,38,FA online,8.640125687962325e-05,0.00038428132227544135,0.7751614458698739
gauss,0.5,39,F0 raw,0.0005911727728571418,0.00036223505794521626,0.632014240174814
gauss,0.5,39,F1 MA,8.881976831399095e-05,0.00036223505794521626,0.7548007395589417
gauss,0.5,39,F2 Kalman,1.8731514357217426e-05,0.00036223505794521626,0.9482890627332643
gauss,0.5,39,F3 Wavelet,3.088370043731745e-05,0.00036223505794521626,0.9147412715585683
gauss,0.5,39,F4 Median,0.00015336634243129355,0.00036223505794521626,0.5766109903848998
gauss,0.5,39,FA online,9.713834311766932e-05,0.00036223505794521626,0.7318361627704175
gauss,0.5,40,F0 raw,0.0005854434395945271,0.0003880637981921075,0.5086267833329523
gauss,0.5,40,F1 MA,8.309871265343997e-05,0.0003880637981921075,0.7858632703164372
gauss,0.5,40,F2 Kalman,2.0894408373304153e-05,0.0003880637981921075,0.9461572852952375
gauss,0.5,40,F3 Wavelet,2.860054979640989e-05,0.0003880637981921075,0.9262993612657179
gauss,0.5,40,F4 Median,0.00013799967069138376,0.0003880637981921075,0.6443892181278186
gauss,0.5,40,FA online,8.657263180263756e-05,0.0003880637981921075,0.7769113423979307
gauss,0.5,41,F0 raw,0.0006498128870338564,0.000420954935735962,0.5436637793491564
gauss,0.5,41,F1 MA,0.00010866420912474801,0.000420954935735962,0.7418626083222691
gauss,0.5,41,F2 Kalman,2.625057111902365e-05,0.000420954935735962,0.9376404244479771
gauss,0.5,41,F3 Wavelet,4.800540870250845e-05,0.000420954935735962,0.8859606940619906
gauss,0.5,41,F4 Median,0.0001919385792811877,0.000420954935735962,0.5440400789086401
gauss,0.5,41,FA online,0.00011018704790973708,0.000420954935735962,0.7382450268290704
gauss,0.5,42,F0 raw,0.0005900781862606484,0.00042469758987786127,0.3894078994664153
gauss,0.5,42,F1 MA,9.207086157306177e-05,0.00042469758987786127,0.7832084199028763
gauss,0.5,42,F2 Kalman,2.2797369841915718e-05,0.00042469758987786127,0.9463209342712021
