mode,task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
buffer,quadratic,F3,N1,sgd,4,2000,0.01,-1,0.20134427422299347,-0.04093871388300026,0.1375251255202663,15.346983346993511
buffer,quadratic,F3,N1,adam,0,2000,0.01,-1,0.985737585244238,-0.06606060380644735,0.2722826174963151,15.35855396399711
buffer,quadratic,F3,N1,adam,1,2000,0.01,-1,0.6366561384914095,0.021855994402268375,0.25560562134746684,9.263043355000264
buffer,quadratic,F3,N1,adam,2,2000,0.01,-1,1.0266315237195514,0.015606726529893117,0.3281176362490567,15.178470277001907
buffer,quadratic,F3,N1,adam,3,2000,0.01,-1,0.6565824293259976,0.021011974794099192,0.2170815820018547,9.241970843999297
buffer,quadratic,F3,N1,adam,4,2000,0.01,-1,0.5063087781782571,0.004320779677012498,0.23622851370565112,15.22152498899959
buffer,quadratic,F3,N1,adamw,0,2000,0.01,-1,0.9857211781133551,-0.06606274808200274,0.2722794318530997,14.838086571995518
buffer,quadratic,F3,N1,adamw,1,2000,0.01,-1,0.6366440415234974,0.021853863966987186,0.2556016487462565,9.617527180998877
buffer,quadratic,F3,N1,adamw,2,2000,0.01,-1,1.0266140688397603,0.015603289802649384,0.3281114464536851,8.810178916995937
buffer,quadratic,F3,N1,adamw,3,2000,0.01,-1,0.6565725347814675,0.02101075544603609,0.21707993329676753,9.78777772399917
buffer,quadratic,F3,N1,adamw,4,2000,0.01,-1,0.506296075724523,0.004318337719229792,0.23622219167260866,9.235636578996491
buffer,quadratic,F3,N2,sgd,0,2000,0.01,-1,0.5147594892388748,-0.12778219597272766,0.17362198284471395,10.527243819000432
buffer,quadratic,F3,N2,sgd,1,2000,0.01,-1,0.2747574713644919,-0.025040953406509373,0.17712746637045965,18.57174164600292
buffer,quadratic,F3,N2,sgd,2,2000,0.01,-1,0.22574531739692597,-0.08952777188751435,0.1500542509934098,17.833854521995818
buffer,quadratic,F3,N2,sgd,3,2000,0.01,-1,0.38895334225450473,0.006692306648380372,0.21594441266417466,17.840721268003108
buffer,quadratic,F3,N2,sgd,4,2000,0.01,-1,0.26803600557186424,-0.03177395228856143,0.16428750302271836,17.84793782300403
buffer,quadratic,F3,N2,adam,0,2000,0.01,-1,0.8807484777779121,-0.08161816648668563,0.25398763254087653,17.85326620599517
buffer,quadratic,F3,N2,adam,1,2000,0.01,-1,0.5085086687934832,0.015483214468579476,0.27331774140720266,18.845298797001306
buffer,quadratic,F3,N2,adam,2,2000,0.01,-1,0.9010512251864948,-0.02384969553318783,0.258564047440005,10.89524849299778
buffer,quadratic,F3,N2,adam,3,2000,0.01,-1,1.1692438001783234,0.09921704060519276,0.326185360685465,18.596589380002115
buffer,quadratic,F3,N2,adam,4,2000,0.01,-1,0.797425084256175,0.026404919902307644,0.26653927644121106,18.857098265005334
buffer,quadratic,F3,N2,adamw,0,2000,0.01,-1,0.8807336848754552,-0.08162028036347524,0.25398407656782174,10.633846081000229
buffer,quadratic,F3,N2,adamw,1,2000,0.01,-1,0.5084979030022184,0.015480865881343148,0.2733131777978129,10.976832810003543
