noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N1,2.0,F0,adam,2,0.10307261317932309,0.674
N1,2.0,F0,adam,3,0.06699449107337069,0.729
N1,2.0,F2,sgd,0,0.04577847721577154,0.782
N1,2.0,F2,sgd,1,0.14558642397305638,0.649
N1,2.0,F2,sgd,2,0.11662741508487587,0.67
N1,2.0,F2,sgd,3,0.07098053930338336,0.723
N1,2.0,F2,adam,0,0.051672752276901567,0.773
N1,2.0,F2,adam,1,0.15711766308355876,0.639
N1,2.0,F2,adam,2,0.12816143220566883,0.659
N1,2.0,F2,adam,3,0.07404537890022074,0.72
N1,2.0,F4,sgd,0,0.058481491348801165,0.755
N1,2.0,F4,sgd,1,0.13076890949416076,0.65
N1,2.0,F4,sgd,2,0.09777296420020275,0.683
N1,2.0,F4,sgd,3,0.07552198152392847,0.721
N1,2.0,F4,adam,0,0.059246338230199494,0.753
N1,2.0,F4,adam,1,0.13258567649645417,0.648
N1,2.0,F4,adam,2,0.0962717790021055,0.693
N1,2.0,F4,adam,3,0.07759143357249224,0.717
N1,2.0,F7,sgd,0,0.05452474656834676,0.762
N1,2.0,F7,sgd,1,0.12219503997309723,0.666
N1,2.0,F7,sgd,2,0.08048676267475219,0.713
N1,2.0,F7,sgd,3,0.07031738049333275,0.725
N1,2.0,F7,adam,0,0.055275456856735586,0.761
N1,2.0,F7,adam,1,0.12601205384351877,0.652
N1,2.0,F7,adam,2,0.08074994256074756,0.71
N1,2.0,F7,adam,3,0.07076253959461176,0.724
N1,2.0,F8,sgd,0,0.05588991582966508,0.758
N1,2.0,F8,sgd,1,0.12619931312014632,0.661
N1,2.0,F8,sgd,2,0.08033421005545369,0.709
N1,2.0,F8,sgd,3,0.07118658030288816,0.723
N1,2.0,F8,adam,0,0.05585054227450137,0.759
N1,2.0,F8,adam,1,0.12682058361075127,0.651
N1,2.0,F8,adam,2,0.0812402864575206,0.711
N1,2.0,F8,adam,3,0.07116800796646115,0.723
N3,0.1,F0,sgd,0,0.012513443810825592,0.807
N3,0.1,F0,sgd,1,0.002198754656562521,0.839
N3,0.1,F0,sgd,2,0.0022504052563812158,0.861
N3,0.1,F0,sgd,3,0.00262923590921095,0.841
N3,0.1,F0,adam,0,0.019453548431956996,0.783
N3,0.1,F0,adam,1,0.00758055004670912,0.828
N3,0.1,F0,adam,2,0.007843683538269973,0.831
N3,0.1,F0,adam,3,0.005921578972017029,0.823
N3,0.1,F2,sgd,0,0.011528522208752022,0.815
N3,0.1,F2,sgd,1,0.0027157335710882814,0.839
N3,0.1,F2,sgd,2,0.002247706969194425,0.859
N3,0.1,F2,sgd,3,0.0028520198486692845,0.845
N3,0.1,F2,adam,0,0.021280898348778332,0.78
N3,0.1,F2,adam,1,0.014948142275709701,0.812
N3,0.1,F2,adam,2,0.020454782679876885,0.79
N3,0.1,F2,adam,3,0.028029644032467046,0.798
N3,0.1,F4,sgd,0,0.0013571754206622472,0.838
N3,0.1,F4,sgd,1,0.0017500085318101798,0.836
N3,0.1,F4,sgd,2,0.002362481599790842,0.856
N3,0.1,F4,sgd,3,0.001438720291937827,0.848
N3,0.1,F4,adam,0,0.006930233142165918,0.807
N3,0.1,F4,adam,1,0.014916048271277614,0.808
N3,0.1,F4,adam,2,0.018886172444202452,0.824
N3,0.1,F4,adam,3,0.010296368998907722,0.827
N3,0.1,F7,sgd,0,0.001277291070637839,0.835
N3,0.1,F7,sgd,1,0.0013407722146736695,0.841
N3,0.1,F7,sgd,2,0.001849382541562121,0.857
N3,0.1,F7,sgd,3,0.0012644142505160896,0.853
N3,0.1,F7,adam,0,0.005586420902846715,0.815
N3,0.1,F7,adam,1,0.011588288399732633,0.818
N3,0.1,F7,adam,2,0.011882067421836003,0.826
N3,0.1,F7,adam,3,0.0077782954857739915,0.828
N3,0.1,F8,sgd,0,0.001311636494582318,0.834
N3,0.1,F8,sgd,1,0.0013853365466067404,0.842
N3,0.1,F8,sgd,2,0.0018257597468679877,0.857
N3,0.1,F8,sgd,3,0.0012885161924991197,0.854
N3,0.1,F8,adam,0,0.005371298870783171,0.82
N3,0.1,F8,adam,1,0.012143967857188645,0.816
N3,0.1,F8,adam,2,0.01252110911056679,0.824
N3,0.1,F8,adam,3,0.008056744040257703,0.828
N3,0.2,F0,sgd,0,0.04439686578327879,0.755
N3,0.2,F0,sgd,1,0.007210867602651446,0.827
N3,0.2,F0,sgd,2,0.008947496219124482,0.827
N3,0.2,F0,sgd,3,0.009402360491029695,0.82
N3,0.2,F0,adam,0,0.033664913076534145,0.758
N3,0.2,F0,adam,1,0.013592834278839238,0.815
N3,0.2,F0,adam,2,0.014180512827136449,0.813
N3,0.2,F0,adam,3,0.013190534838259564,0.809
N3,0.2,F2,sgd,0,0.044455888915923225,0.754
N3,0.2,F2,sgd,1,0.008840100526162069,0.826
N3,0.2,F2,sgd,2,0.008540868820824374,0.833
N3,0.2,F2,sgd,3,0.010234622056605101,0.826
N3,0.2,F2,adam,0,0.055574410972542135,0.736
N3,0.2,F2,adam,1,0.021291968206806858,0.809
N3,0.2,F2,adam,2,0.030491331271518214,0.78
N3,0.2,F2,adam,3,0.0240243133126224,0.79
N3,0.2,F4,sgd,0,0.004878437754328866,0.834
N3,0.2,F4,sgd,1,0.005808352924749036,0.834
N3,0.2,F4,sgd,2,0.007871561462291125,0.833
N3,0.2,F4,sgd,3,0.004279075495831903,0.836
N3,0.2,F4,adam,0,0.011574563896075446,0.805
N3,0.2,F4,adam,1,0.021892420730613437,0.799
N3,0.2,F4,adam,2,0.02369531072863871,0.818
N3,0.2,F4,adam,3,0.01439902632475432,0.81
N3,0.2,F7,sgd,0,0.0045616075293573935,0.831
N3,0.2,F7,sgd,1,0.004248230619642227,0.834
N3,0.2,F7,sgd,2,0.0064128531491971525,0.835
N3,0.2,F7,sgd,3,0.0037797405528665275,0.842
N3,0.2,F7,adam,0,0.009538864671927058,0.809
N3,0.2,F7,adam,1,0.017439087099970326,0.802
N3,0.2,F7,adam,2,0.018412396119923565,0.816
N3,0.2,F7,adam,3,0.010962491104888901,0.816
N3,0.2,F8,sgd,0,0.0047578350302346015,0.835
N3,0.2,F8,sgd,1,0.0043797049592720575,0.834
N3,0.2,F8,sgd,2,0.0063325157891037836,0.835
N3,0.2,F8,sgd,3,0.00376241449222829,0.842
N3,0.2,F8,adam,0,0.00949579213556119,0.809
N3,0.2,F8,adam,1,0.017886516856507276,0.802
N3,0.2,F8,adam,2,0.01873678975936906,0.816
N3,0.2,F8,adam,3,0.010997481290729317,0.82
N3,0.4,F0,sgd,0,0.10043080335780628,0.685
N3,0.4,F0,sgd,1,0.017909195341979624,0.808
N3,0.4,F0,sgd,2,0.027890091758546003,0.785
