ticker,filter,optimizer,snr_target,holdout_mse,snr_in_db,snr_out_db
equity,F4 Median,sgd,0.0,0.13394643974582857,5.697237028748462e-10,6.459623018911424
equity,F4 Median,adam,0.0,0.1340619793845395,5.697237028748462e-10,6.459623018911424
equity,F4 Median,adamw,0.0,0.13406173843315133,5.697237028748462e-10,6.459623018911424
equity,F0,sgd,-3.0,0.24181710989418181,-2.9999999994302757,-1.9059154917210297
equity,F0,adam,-3.0,0.24181710989418193,-2.9999999994302757,-1.9059154917210297
equity,F0,adamw,-3.0,0.24181695189151453,-2.9999999994302757,-1.9059154917210297
equity,F1 MA,sgd,-3.0,0.17714580956199724,-2.9999999994302757,4.5675797387121095
equity,F1 MA,adam,-3.0,0.17877212909243353,-2.9999999994302757,4.5675797387121095
equity,F1 MA,adamw,-3.0,0.17877049381440632,-2.9999999994302757,4.5675797387121095
equity,F2 Kalman,sgd,-3.0,0.07410922676847637,-2.9999999994302757,8.7298285163492
equity,F2 Kalman,adam,-3.0,0.08103286543443586,-2.9999999994302757,8.7298285163492
equity,F2 Kalman,adamw,-3.0,0.08102330758095322,-2.9999999994302757,8.7298285163492
equity,F3 Wavelet,sgd,-3.0,0.04516136318739712,-2.9999999994302757,16.03655389431189
equity,F3 Wavelet,adam,-3.0,0.04572776347753061,-2.9999999994302757,16.03655389431189
equity,F3 Wavelet,adamw,-3.0,0.04572737883606631,-2.9999999994302757,16.03655389431189
equity,F4 Median,sgd,-3.0,0.22806711856573428,-2.9999999994302757,3.4696936068104636
equity,F4 Median,adam,-3.0,0.22810442299181574,-2.9999999994302757,3.4696936068104636
equity,F4 Median,adamw,-3.0,0.22810409989337066,-2.9999999994302757,3.4696936068104636
fx,F0,sgd,3.0,0.08892680215342148,3.000000000428613,1.67355167217706
fx,F0,adam,3.0,0.08892680215644665,3.000000000428613,1.67355167217706
fx,F0,adamw,3.0,0.08892692612661857,3.000000000428613,1.67355167217706
fx,F1 MA,sgd,3.0,0.05455897005041238,3.000000000428613,8.4696152137681
fx,F1 MA,adam,3.0,0.053325138023133226,3.000000000428613,8.4696152137681
fx,F1 MA,adamw,3.0,0.053325190595064874,3.000000000428613,8.4696152137681
fx,F2 Kalman,sgd,3.0,0.05472003473873958,3.000000000428613,8.715333329020599
fx,F2 Kalman,adam,3.0,0.04380247771321618,3.000000000428613,8.715333329020599
fx,F2 Kalman,adamw,3.0,0.0438039684432448,3.000000000428613,8.715333329020599
fx,F3 Wavelet,sgd,3.0,0.008830007593488887,3.000000000428613,18.357940008213117
fx,F3 Wavelet,adam,3.0,0.008882670094063683,3.000000000428613,18.357940008213117
fx,F3 Wavelet,adamw,3.0,0.008882499613231658,3.000000000428613,18.357940008213117
fx,F4 Median,sgd,3.0,0.06999719107556446,3.000000000428613,7.132798845497356
fx,F4 Median,adam,3.0,0.06968973905942,3.000000000428613,7.132798845497356
fx,F4 Median,adamw,3.0,0.0696898832111365,3.000000000428613,7.132798845497356
fx,F0,sgd,0.0,0.1735745878890963,4.286117360553897e-10,-1.3264483278229404
fx,F0,adam,0.0,0.17357458788909635,4.286117360553897e-10,-1.3264483278229404
fx,F0,adamw,0.0,0.17357476976074737,4.286117360553897e-10,-1.3264483278229404
fx,F1 MA,sgd,0.0,0.10505761952189539,4.286117360553897e-10,5.476389363785488
fx,F1 MA,adam,0.0,0.10425958937054883,4.286117360553897e-10,5.476389363785488
fx,F1 MA,adamw,0.0,0.10425979225589374,4.286117360553897e-10,5.476389363785488
fx,F2 Kalman,sgd,0.0,0.05636415985866433,4.286117360553897e-10,8.377800201475283
fx,F2 Kalman,adam,0.0,0.052010713226657575,4.286117360553897e-10,8.377800201475283
fx,F2 Kalman,adamw,0.0,0.05200772875263771,4.286117360553897e-10,8.377800201475283
fx,F3 Wavelet,sgd,0.0,0.01639009212216198,4.286117360553897e-10,17.00242562939803
fx,F3 Wavelet,adam,0.0,0.016588588622275455,4.286117360553897e-10,17.00242562939803
fx,F3 Wavelet,adamw,0.0,0.01658828310212788,4.286117360553897e-10,17.00242562939803
