ticker,filter,optimizer,horizon,seed,holdout_mse
BTC-USD,F8,adam,10,1,0.0008432642936837865
BTC-USD,F9,adam,10,0,0.0020941112879820797
BTC-USD,F9,adam,10,1,0.002094420097538465
BTC-USD,F0,adam,20,0,0.00035876352277036195
BTC-USD,F0,adam,20,1,0.0003587464178304156
BTC-USD,F4,adam,20,0,0.0003592463730347482
BTC-USD,F4,adam,20,1,0.0003592463730347482
BTC-USD,F7,adam,20,0,0.0007117356685213221
BTC-USD,F7,adam,20,1,0.0007179115086220802
BTC-USD,F8,adam,20,0,0.0007117356685213221
BTC-USD,F8,adam,20,1,0.0007179115086220802
BTC-USD,F9,adam,20,0,0.0018076949277562558
BTC-USD,F9,adam,20,1,0.001808672582726797
ETH-USD,F0,adam,1,0,0.002608861434061733
ETH-USD,F0,adam,1,1,0.002608861434061733
ETH-USD,F4,adam,1,0,0.0035128467818817664
ETH-USD,F4,adam,1,1,0.0035128467818817664
ETH-USD,F7,adam,1,0,0.004636660095552613
ETH-USD,F7,adam,1,1,0.004636663857850674
ETH-USD,F8,adam,1,0,0.004636660095552613
ETH-USD,F8,adam,1,1,0.004636663857850674
ETH-USD,F9,adam,1,0,0.00495492412452928
ETH-USD,F9,adam,1,1,0.004960101545007959
ETH-USD,F0,adam,5,0,0.0026143571846283615
ETH-USD,F0,adam,5,1,0.002614356072078207
ETH-USD,F4,adam,5,0,0.0026674839602706304
ETH-USD,F4,adam,5,1,0.00266748396027063
ETH-USD,F7,adam,5,0,0.0057822826850112
ETH-USD,F7,adam,5,1,0.005782282685042281
ETH-USD,F8,adam,5,0,0.0057822826850112
ETH-USD,F8,adam,5,1,0.005782282685042281
ETH-USD,F9,adam,5,0,0.005315880434029516
ETH-USD,F9,adam,5,1,0.005336772038038062
ETH-USD,F0,adam,10,0,0.002640672962370282
ETH-USD,F0,adam,10,1,0.002640672960770661
ETH-USD,F4,adam,10,0,0.0025309371204666675
ETH-USD,F4,adam,10,1,0.0025309371204666675
ETH-USD,F7,adam,10,0,0.003144429961218979
ETH-USD,F7,adam,10,1,0.003144429961218979
ETH-USD,F8,adam,10,0,0.003144429961218979
ETH-USD,F8,adam,10,1,0.003144429961218979
ETH-USD,F9,adam,10,0,0.0040340274909688835
ETH-USD,F9,adam,10,1,0.004012154537401393
ETH-USD,F0,adam,20,0,0.0028523653287802274
ETH-USD,F0,adam,20,1,0.0028523653287558684
ETH-USD,F4,adam,20,0,0.0028326318514989993
ETH-USD,F4,adam,20,1,0.0028326318514989984
ETH-USD,F7,adam,20,0,0.003160853319264662
ETH-USD,F7,adam,20,1,0.003160853319264662
ETH-USD,F8,adam,20,0,0.003160853319264662
ETH-USD,F8,adam,20,1,0.003160853319264662
ETH-USD,F9,adam,20,0,0.004201071434885186
ETH-USD,F9,adam,20,1,0.00419390013789302
ETH-USD,F0,adam,1,0,0.0005929338523867524
ETH-USD,F0,adam,1,1,0.0005929341739883011
ETH-USD,F4,adam,1,0,0.0008845292202407667
ETH-USD,F4,adam,1,1,0.0008845292202407667
ETH-USD,F7,adam,1,0,0.00211329736686569
ETH-USD,F7,adam,1,1,0.00211335149941297
ETH-USD,F8,adam,1,0,0.00211329736686569
ETH-USD,F8,adam,1,1,0.00211335149941297
ETH-USD,F9,adam,1,0,0.0010982092571723908
ETH-USD,F9,adam,1,1,0.001101131569471936
ETH-USD,F0,adam,5,0,0.0005968574419632017
ETH-USD,F0,adam,5,1,0.0005968574419632017
ETH-USD,F4,adam,5,0,0.0006062506493781661
ETH-USD,F4,adam,5,1,0.0006062506493781661
ETH-USD,F7,adam,5,0,0.0007861022683784363
ETH-USD,F7,adam,5,1,0.0007861022695397431
ETH-USD,F8,adam,5,0,0.0007861022683784363
ETH-USD,F8,adam,5,1,0.0007861022695397431
ETH-USD,F9,adam,5,0,0.0011843215711058524
ETH-USD,F9,adam,5,1,0.0011856279356317124
ETH-USD,F0,adam,10,0,0.0005848004387776443
ETH-USD,F0,adam,10,1,0.0005848004387776443
ETH-USD,F4,adam,10,0,0.0005822076413576777
ETH-USD,F4,adam,10,1,0.0005822076413576777
ETH-USD,F7,adam,10,0,0.0006818802398741255
ETH-USD,F7,adam,10,1,0.0006818802399208956
ETH-USD,F8,adam,10,0,0.0006818802398741255
ETH-USD,F8,adam,10,1,0.0006818802399208956
ETH-USD,F9,adam,10,0,0.000949153975102237
ETH-USD,F9,adam,10,1,0.0009501902541216502
ETH-USD,F0,adam,20,0,0.0005753064637786964
ETH-USD,F0,adam,20,1,0.0005753064553894323
ETH-USD,F4,adam,20,0,0.0005693578978184624
ETH-USD,F4,adam,20,1,0.0005693578978184624
ETH-USD,F7,adam,20,0,0.000698447807258018
ETH-USD,F7,adam,20,1,0.0006984478072580221
ETH-USD,F8,adam,20,0,0.000698447807258018
ETH-USD,F8,adam,20,1,0.0006984478072580221
ETH-USD,F9,adam,20,0,0.0009252498581785811
ETH-USD,F9,adam,20,1,0.0009285054729504932
ETH-USD,F0,adam,1,0,0.001270657211434177
ETH-USD,F0,adam,1,1,0.001270657211434177
ETH-USD,F4,adam,1,0,0.001701735412903565
ETH-USD,F4,adam,1,1,0.0017017354129035646
ETH-USD,F7,adam,1,0,0.0034797463651804316
ETH-USD,F7,adam,1,1,0.0034797859000952314
ETH-USD,F8,adam,1,0,0.0034797463651804316
ETH-USD,F8,adam,1,1,0.0034797859000952314
ETH-USD,F9,adam,1,0,0.005453136788329626
ETH-USD,F9,adam,1,1,0.005447825030117146
ETH-USD,F0,adam,5,0,0.001269778633214724
ETH-USD,F0,adam,5,1,0.001269778633214724
ETH-USD,F4,adam,5,0,0.001273166459428988
ETH-USD,F4,adam,5,1,0.001273166459428988
ETH-USD,F7,adam,5,0,0.0018191434985627127
ETH-USD,F7,adam,5,1,0.001819143498562713
ETH-USD,F8,adam,5,0,0.0018191434985627127
ETH-USD,F8,adam,5,1,0.001819143498562713
ETH-USD,F9,adam,5,0,0.005045150814321233
ETH-USD,F9,adam,5,1,0.005050625401093497
ETH-USD,F0,adam,10,0,0.0012981004399828125
ETH-USD,F0,adam,10,1,0.0012981004399828127
ETH-USD,F4,adam,10,0,0.001300646634878142
ETH-USD,F4,adam,10,1,0.0013006611043803228
ETH-USD,F7,adam,10,0,0.0012666078954507913
ETH-USD,F7,adam,10,1,0.0012666078954507913
ETH-USD,F8,adam,10,0,0.0012666078954507913
ETH-USD,F8,adam,10,1,0.0012666078954507913
ETH-USD,F9,adam,10,0,0.00482855177015313
ETH-USD,F9,adam,10,1,0.0048239663040923
ETH-USD,F0,adam,20,0,0.0012931762796992165
ETH-USD,F0,adam,20,1,0.0012931762797403063
ETH-USD,F4,adam,20,0,0.0013046010216485326
ETH-USD,F4,adam,20,1,0.0013046010216485326
ETH-USD,F7,adam,20,0,0.0012943878301882226
ETH-USD,F7,adam,20,1,0.0012943878384027517
ETH-USD,F8,adam,20,0,0.0012943878301882226
ETH-USD,F8,adam,20,1,0.0012943878384027517
ETH-USD,F9,adam,20,0,0.0044254570737070195
ETH-USD,F9,adam,20,1,0.0044298760512162935
EURUSD=X,F0,adam,1,0,1.0376549837433711e-05
EURUSD=X,F0,adam,1,1,1.0376549837433711e-05
EURUSD=X,F4,adam,1,0,1.58569762241275e-05
EURUSD=X,F4,adam,1,1,1.5856976224127505e-05
EURUSD=X,F7,adam,1,0,2.0810380541507518e-05
EURUSD=X,F7,adam,1,1,2.0810380541507525e-05
EURUSD=X,F8,adam,1,0,2.0810380541507518e-05
EURUSD=X,F8,adam,1,1,2.0810380541507525e-05
EURUSD=X,F9,adam,1,0,0.0008443582395497555
EURUSD=X,F9,adam,1,1,0.0008451279847283882
EURUSD=X,F0,adam,5,0,1.0226903497492352e-05
EURUSD=X,F0,adam,5,1,1.0226903497492354e-05
EURUSD=X,F4,adam,5,0,1.0323492903351955e-05
EURUSD=X,F4,adam,5,1,1.0323492903351955e-05
EURUSD=X,F7,adam,5,0,1.0882441872763458e-05
EURUSD=X,F7,adam,5,1,1.0882441872763458e-05
EURUSD=X,F8,adam,5,0,1.0882441872763458e-05
EURUSD=X,F8,adam,5,1,1.0882441872763458e-05
EURUSD=X,F9,adam,5,0,0.0008633481317646402
EURUSD=X,F9,adam,5,1,0.0008640987874017526
EURUSD=X,F0,adam,10,0,1.022249720982489e-05
EURUSD=X,F0,adam,10,1,1.022249720982489e-05
EURUSD=X,F4,adam,10,0,1.0128055609011785e-05
EURUSD=X,F4,adam,10,1,1.0128055609011785e-05
EURUSD=X,F7,adam,10,0,1.0256270948666557e-05
EURUSD=X,F7,adam,10,1,1.0256270948666557e-05
EURUSD=X,F8,adam,10,0,1.0256270948666557e-05
EURUSD=X,F8,adam,10,1,1.0256270948666557e-05
EURUSD=X,F9,adam,10,0,0.0008425025498756427
EURUSD=X,F9,adam,10,1,0.0008432476011120166
EURUSD=X,F0,adam,20,0,1.0291171998463929e-05
EURUSD=X,F0,adam,20,1,1.0291171998463929e-05
EURUSD=X,F4,adam,20,0,1.0590199400004221e-05
EURUSD=X,F4,adam,20,1,1.0590199400004221e-05
EURUSD=X,F7,adam,20,0,1.0720206034591722e-05
EURUSD=X,F7,adam,20,1,1.0720206034591722e-05
EURUSD=X,F8,adam,20,0,1.0720206034591722e-05
EURUSD=X,F8,adam,20,1,1.0720206034591722e-05
EURUSD=X,F9,adam,20,0,0.0008607400675971521
EURUSD=X,F9,adam,20,1,0.0008613928968012567
EURUSD=X,F0,adam,1,0,1.5337104508068902e-05
EURUSD=X,F0,adam,1,1,1.5337104508068902e-05
EURUSD=X,F4,adam,1,0,2.2664125276722025e-05
EURUSD=X,F4,adam,1,1,2.2664125276722025e-05
EURUSD=X,F7,adam,1,0,2.7649955173834462e-05
EURUSD=X,F7,adam,1,1,2.7649955173834462e-05
EURUSD=X,F8,adam,1,0,2.7649955173834462e-05
EURUSD=X,F8,adam,1,1,2.7649955173834462e-05
EURUSD=X,F9,adam,1,0,0.0010971889218315955
EURUSD=X,F9,adam,1,1,0.0010980992660944936
EURUSD=X,F0,adam,5,0,1.4990818597815752e-05
EURUSD=X,F0,adam,5,1,1.4990818597815752e-05
EURUSD=X,F4,adam,5,0,1.491489105259833e-05
EURUSD=X,F4,adam,5,1,1.491489105259833e-05
EURUSD=X,F7,adam,5,0,1.584799072060126e-05
EURUSD=X,F7,adam,5,1,1.584799072060126e-05
EURUSD=X,F8,adam,5,0,1.584799072060126e-05
EURUSD=X,F8,adam,5,1,1.584799072060126e-05
EURUSD=X,F9,adam,5,0,0.0010746521602591507
EURUSD=X,F9,adam,5,1,0.0010755709609557395
EURUSD=X,F0,adam,10,0,1.4849098057918693e-05
EURUSD=X,F0,adam,10,1,1.4849098057918694e-05
EURUSD=X,F4,adam,10,0,1.5172143148008182e-05
EURUSD=X,F4,adam,10,1,1.5172143148008182e-05
EURUSD=X,F7,adam,10,0,1.5869155101246428e-05
EURUSD=X,F7,adam,10,1,1.5869155101246428e-05
EURUSD=X,F8,adam,10,0,1.5869155101246428e-05
EURUSD=X,F8,adam,10,1,1.5869155101246428e-05
EURUSD=X,F9,adam,10,0,0.0011289146577086098
EURUSD=X,F9,adam,10,1,0.0011298235521298155
EURUSD=X,F0,adam,20,0,1.5375322177933906e-05
EURUSD=X,F0,adam,20,1,1.5375322177933906e-05
EURUSD=X,F4,adam,20,0,1.539987646388032e-05
EURUSD=X,F4,adam,20,1,1.539987646388032e-05
EURUSD=X,F7,adam,20,0,1.5359749325916085e-05
EURUSD=X,F7,adam,20,1,1.5359749325916085e-05
EURUSD=X,F8,adam,20,0,1.5359749325916085e-05
EURUSD=X,F8,adam,20,1,1.5359749325916085e-05
EURUSD=X,F9,adam,20,0,0.0011524352664961963
EURUSD=X,F9,adam,20,1,0.0011534220837761632
EURUSD=X,F0,adam,1,0,1.034346170453895e-05
EURUSD=X,F0,adam,1,1,1.0343461704538948e-05
EURUSD=X,F4,adam,1,0,1.402727837085281e-05
EURUSD=X,F4,adam,1,1,1.4027278370852803e-05
EURUSD=X,F7,adam,1,0,1.9722610695659432e-05
EURUSD=X,F7,adam,1,1,1.9722610695660127e-05
EURUSD=X,F8,adam,1,0,1.9722610695659432e-05
EURUSD=X,F8,adam,1,1,1.9722610695660127e-05
EURUSD=X,F9,adam,1,0,0.000919802871016008
EURUSD=X,F9,adam,1,1,0.0009203490260557793
EURUSD=X,F0,adam,5,0,1.0292405031543212e-05
EURUSD=X,F0,adam,5,1,1.029240503154321e-05
EURUSD=X,F4,adam,5,0,9.975778220510393e-06
EURUSD=X,F4,adam,5,1,9.975778220510393e-06
EURUSD=X,F7,adam,5,0,1.0631709141626174e-05
EURUSD=X,F7,adam,5,1,1.0631709141626175e-05
EURUSD=X,F8,adam,5,0,1.0631709141626174e-05
EURUSD=X,F8,adam,5,1,1.0631709141626175e-05
EURUSD=X,F9,adam,5,0,0.0009865890484034594
EURUSD=X,F9,adam,5,1,0.0009871588572815013
EURUSD=X,F0,adam,10,0,1.0127230606402807e-05
EURUSD=X,F0,adam,10,1,1.0127230606402805e-05
EURUSD=X,F4,adam,10,0,1.01169650201403e-05
EURUSD=X,F4,adam,10,1,1.01169650201403e-05
EURUSD=X,F7,adam,10,0,1.0015338886062328e-05
EURUSD=X,F7,adam,10,1,1.0015338886062328e-05
EURUSD=X,F8,adam,10,0,1.0015338886062328e-05
EURUSD=X,F8,adam,10,1,1.0015338886062328e-05
EURUSD=X,F9,adam,10,0,0.000947222371002628
EURUSD=X,F9,adam,10,1,0.0009478757717432992
EURUSD=X,F0,adam,20,0,1.0114885369559456e-05
EURUSD=X,F0,adam,20,1,1.0114885369559456e-05
EURUSD=X,F4,adam,20,0,1.0210786672012107e-05
EURUSD=X,F4,adam,20,1,1.0210786672012107e-05
EURUSD=X,F7,adam,20,0,1.0167630135119964e-05
EURUSD=X,F7,adam,20,1,1.0167630135119964e-05
EURUSD=X,F8,adam,20,0,1.0167630135119964e-05
EURUSD=X,F8,adam,20,1,1.0167630135119964e-05
EURUSD=X,F9,adam,20,0,0.0009812640728633461
EURUSD=X,F9,adam,20,1,0.0009818936500032916
GBPUSD=X,F0,adam,1,0,1.7393194635639434e-05
GBPUSD=X,F0,adam,1,1,1.7393194635639434e-05
GBPUSD=X,F4,adam,1,0,3.1371811552736405e-05
GBPUSD=X,F4,adam,1,1,3.1371811552736405e-05
GBPUSD=X,F7,adam,1,0,7.321690264865814e-05
GBPUSD=X,F7,adam,1,1,7.375842998703955e-05
GBPUSD=X,F8,adam,1,0,7.321690264865814e-05
GBPUSD=X,F8,adam,1,1,7.375842998703955e-05
GBPUSD=X,F9,adam,1,0,0.001030996947388354
GBPUSD=X,F9,adam,1,1,0.001032040401983872
GBPUSD=X,F0,adam,5,0,1.7436218607523116e-05
GBPUSD=X,F0,adam,5,1,1.7436218607523116e-05
GBPUSD=X,F4,adam,5,0,1.766768255197886e-05
GBPUSD=X,F4,adam,5,1,1.766768255197886e-05
GBPUSD=X,F7,adam,5,0,0.0001993794328283454
GBPUSD=X,F7,adam,5,1,0.0002007195139878857
GBPUSD=X,F8,adam,5,0,0.0001993794328283454
GBPUSD=X,F8,adam,5,1,0.0002007195139878857
GBPUSD=X,F9,adam,5,0,0.001003922602544071
GBPUSD=X,F9,adam,5,1,0.0010048977284574654
GBPUSD=X,F0,adam,10,0,1.6848434541308252e-05
GBPUSD=X,F0,adam,10,1,1.6848434541308252e-05
GBPUSD=X,F4,adam,10,0,1.716080597680067e-05
GBPUSD=X,F4,adam,10,1,1.7160805976800672e-05
GBPUSD=X,F7,adam,10,0,4.530052097753619e-05
GBPUSD=X,F7,adam,10,1,4.494872746711819e-05
GBPUSD=X,F8,adam,10,0,4.530052097753619e-05
GBPUSD=X,F8,adam,10,1,4.494872746711819e-05
GBPUSD=X,F9,adam,10,0,0.0009907312035509473
GBPUSD=X,F9,adam,10,1,0.0009915368551099047
GBPUSD=X,F0,adam,20,0,1.6457188168548565e-05
GBPUSD=X,F0,adam,20,1,1.6457188168548565e-05
