domain,model,optimizer,filter,n_cells,causal,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0,bucket
cmapss_turbofan,regression,adam,F3,24,0,20.0,1.0,0.0003433151055670375,-0.01834205798441002,-3.5981902774079977,0.18638589611982614,2.0,0.0994538654098711,0.95,2.3759353487574733,light_short
cmapss_turbofan,regression,adam,F4,24,1,20.0,1.0,0.0003988649029431048,0.22796854625791366,-3.4166223583505126,0.29928901527994006,2.0,0.0994538654098711,0.95,2.0450395335873433,light_short
cmapss_turbofan,regression,adam,F5,24,1,20.0,1.0,0.0003948746208413353,0.1760581843737673,-3.541312549365985,0.9754205305835687,2.0,0.0994538654098711,0.95,2.0657050416184695,light_short
cmapss_turbofan,regression,adam,F6,24,1,19.0,1.0,0.0008156944950791279,0.08907260439192584,-3.059924034757018,0.31565899753672944,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,regression,adam,F7,24,1,20.0,1.0,0.00038882286632423754,0.21555331675104186,-3.3968652599379614,0.28968803708871393,2.0,0.0994538654098711,0.95,2.0978562881096714,light_short
cmapss_turbofan,regression,sgd,F0,24,1,63.0,1.0,4.757468218209986e-05,0.42051690090379035,-4.089095558472075,0.30764850067798755,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,regression,sgd,F1,24,1,62.0,1.0,4.150541810759395e-05,-0.2544376617738751,-4.088652914916669,0.3518415770989505,2.0,0.0994538654098711,1.0161290322580645,1.1462282360045775,light_short
cmapss_turbofan,regression,sgd,F2,24,1,54.0,1.0,3.3783204892118556e-05,0.029023428875194785,-4.264737235741985,1.0102629080394658,2.0,0.0994538654098711,1.1666666666666667,1.4082347229643326,light_short
cmapss_turbofan,regression,sgd,F3,24,0,66.0,1.0,3.876815598792623e-05,0.038469243522733294,-4.2067788234851005,0.1970215185844933,2.0,0.0994538654098711,0.9545454545454546,1.227158758773987,light_short
cmapss_turbofan,regression,sgd,F4,24,1,61.0,1.0,5.3724129489776394e-05,-1.32802014706913,-3.7169355825509256,0.3005476973907086,2.0,0.0994538654098711,1.0327868852459017,0.8855365854025282,light_short
