ticker,kind,window,seed,acc,majority
ETH-USD,causal,9,2,0.44,0.5449999999999999
ETH-USD,centered,13,0,0.565,0.5449999999999999
ETH-USD,centered,13,1,0.56,0.5449999999999999
ETH-USD,centered,13,2,0.57,0.5449999999999999
ETH-USD,causal,13,0,0.425,0.5449999999999999
ETH-USD,causal,13,1,0.425,0.5449999999999999
ETH-USD,causal,13,2,0.425,0.5449999999999999
ETH-USD,identity,1,0,0.435,0.5449999999999999
ETH-USD,identity,1,1,0.47,0.5449999999999999
ETH-USD,identity,1,2,0.465,0.5449999999999999
ETH-USD,centered,3,0,0.64,0.55
ETH-USD,centered,3,1,0.65,0.55
ETH-USD,centered,3,2,0.695,0.55
ETH-USD,causal,3,0,0.48,0.55
ETH-USD,causal,3,1,0.485,0.55
ETH-USD,causal,3,2,0.48,0.55
ETH-USD,centered,5,0,0.645,0.55
ETH-USD,centered,5,1,0.675,0.55
ETH-USD,centered,5,2,0.655,0.55
ETH-USD,causal,5,0,0.505,0.55
ETH-USD,causal,5,1,0.475,0.55
ETH-USD,causal,5,2,0.465,0.55
ETH-USD,centered,7,0,0.665,0.55
ETH-USD,centered,7,1,0.67,0.55
ETH-USD,centered,7,2,0.67,0.55
ETH-USD,causal,7,0,0.525,0.55
ETH-USD,causal,7,1,0.485,0.55
ETH-USD,causal,7,2,0.475,0.55
ETH-USD,centered,9,0,0.625,0.55
ETH-USD,centered,9,1,0.635,0.55
ETH-USD,centered,9,2,0.625,0.55
ETH-USD,causal,9,0,0.5,0.55
ETH-USD,causal,9,1,0.495,0.55
ETH-USD,causal,9,2,0.465,0.55
ETH-USD,centered,13,0,0.625,0.55
ETH-USD,centered,13,1,0.63,0.55
ETH-USD,centered,13,2,0.62,0.55
ETH-USD,causal,13,0,0.475,0.55
ETH-USD,causal,13,1,0.46,0.55
ETH-USD,causal,13,2,0.445,0.55
ETH-USD,identity,1,0,0.57,0.55
ETH-USD,identity,1,1,0.525,0.55
ETH-USD,identity,1,2,0.585,0.55
ETH-USD,centered,3,0,0.675,0.52
ETH-USD,centered,3,1,0.665,0.52
ETH-USD,centered,3,2,0.665,0.52
ETH-USD,causal,3,0,0.475,0.52
ETH-USD,causal,3,1,0.485,0.52
ETH-USD,causal,3,2,0.475,0.52
ETH-USD,centered,5,0,0.665,0.52
ETH-USD,centered,5,1,0.66,0.52
ETH-USD,centered,5,2,0.66,0.52
ETH-USD,causal,5,0,0.52,0.52
ETH-USD,causal,5,1,0.525,0.52
ETH-USD,causal,5,2,0.515,0.52
ETH-USD,centered,7,0,0.66,0.52
ETH-USD,centered,7,1,0.665,0.52
ETH-USD,centered,7,2,0.67,0.52
ETH-USD,causal,7,0,0.535,0.52
ETH-USD,causal,7,1,0.515,0.52
ETH-USD,causal,7,2,0.535,0.52
ETH-USD,centered,9,0,0.63,0.52
ETH-USD,centered,9,1,0.64,0.52
ETH-USD,centered,9,2,0.65,0.52
ETH-USD,causal,9,0,0.5,0.52
ETH-USD,causal,9,1,0.495,0.52
ETH-USD,causal,9,2,0.505,0.52
ETH-USD,centered,13,0,0.61,0.52
ETH-USD,centered,13,1,0.62,0.52
ETH-USD,centered,13,2,0.615,0.52
ETH-USD,causal,13,0,0.525,0.52
ETH-USD,causal,13,1,0.52,0.52
ETH-USD,causal,13,2,0.52,0.52
ETH-USD,identity,1,0,0.47,0.52
ETH-USD,identity,1,1,0.475,0.52
ETH-USD,identity,1,2,0.49,0.52
EURUSD=X,centered,3,0,0.62,0.62
EURUSD=X,centered,3,1,0.625,0.62
EURUSD=X,centered,3,2,0.625,0.62
EURUSD=X,causal,3,0,0.62,0.62
EURUSD=X,causal,3,1,0.61,0.62
EURUSD=X,causal,3,2,0.615,0.62
EURUSD=X,centered,5,0,0.62,0.62
EURUSD=X,centered,5,1,0.62,0.62
EURUSD=X,centered,5,2,0.62,0.62
EURUSD=X,causal,5,0,0.62,0.62
EURUSD=X,causal,5,1,0.62,0.62
EURUSD=X,causal,5,2,0.61,0.62
EURUSD=X,centered,7,0,0.62,0.62
EURUSD=X,centered,7,1,0.62,0.62
