n,mean_log_diff,floor_ratio,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,perm_p,power,boot_ratio,boot_ratio_lo,boot_ratio_hi,block,model,noise,optimizer,filter,metric,conv_F0,conv_Fk,speedup,p_holm
100,0.005538073515179398,1.012833537515281,6.41091620841819,2.4760488218625006e-09,0.6410916208418189,0.003824006603325068,0.0072521404270337285,7.901661919822507e-09,0.0,0.9999988301790402,0.9911498635069708,0.9825443866831014,1.0391690322896097,B,logistic,N4,adam,F3,floor,0.0,0.0,,3.15933122574438e-07
100,0.023400664975128337,1.0553600858945256,6.3470034724310285,3.327652123787218e-09,0.6347003472431029,0.016085087423940898,0.030716242526315777,7.984633650819423e-10,0.0,0.9999984048054008,1.065068286635033,0.9940743756290286,1.1266187837787018,B,logistic,N2,adam,F3,floor,0.0,0.0,,4.1928416759718947e-07
100,0.0023666180193674747,1.0054642140287464,6.092728339880094,1.066435689613089e-08,0.6092728339880095,0.0015958822619502543,0.003137353776784695,1.3242872690864507e-08,0.0,0.9999947274246628,1.0032068960902922,0.9984649642581357,1.0161610473539875,A,logistic,N1,clipped_sgd,F1,floor,1.0,1.0,,1.3330446120163613e-06
100,0.0023666180193674747,1.0054642140287464,6.092728339880094,1.066435689613089e-08,0.6092728339880095,0.0015958822619502543,0.003137353776784695,1.3242872690864507e-08,0.0,0.9999947274246628,1.0032068960902922,0.9984649642581357,1.0161610473539875,A,logistic,N1,sgd,F1,floor,1.0,1.0,,1.3330446120163613e-06
100,0.001655634395193044,1.0038195149040046,5.54544128898784,1.2204666646818887e-07,0.554544128898784,0.001063231074835744,0.0022480377155503443,6.343359855657819e-07,0.0,0.9999438244607032,1.0092315250271682,0.9973979166695094,1.0103201674935767,A,quadratic,N2,clipped_sgd,F1,floor,0.0,0.0,,1.5011739975587231e-05
100,0.001655634395193044,1.0038195149040046,5.54544128898784,1.2204666646818887e-07,0.554544128898784,0.001063231074835744,0.0022480377155503443,6.343359855657819e-07,0.0,0.9999438244607032,1.0092315250271682,0.9973979166695094,1.0103201674935767,A,quadratic,N2,sgd,F1,floor,0.0,0.0,,1.5011739975587231e-05
100,0.0016933302542411445,1.0039066481345142,4.806040816705774,2.745394197936688e-06,0.4806040816705775,0.000994223708310725,0.002392436800171564,7.802036846591335e-07,0.0,0.9991200634493453,1.0025833675810831,0.9936176459031579,1.0108943605282743,A,logistic,N4,sgd,F4,floor,0.0,0.0,,0.00033219269795033927
100,0.035274576936555696,1.0846124291435733,4.569896092169972,7.051688563725048e-06,0.4569896092169972,0.01995860210843312,0.050590551764678277,5.386270729513348e-06,0.0,0.998095290486769,1.0902683800260236,1.0100940099880908,1.1983789447378368,A,quadratic,N3,sgd,F2,floor,0.02,0.03,,0.0008462026276470058
100,0.0051078181039019765,1.0118306205141896,3.994622501821419,6.23317100931085e-05,0.3994622501821419,0.002570652386149173,0.00764498382165478,3.523349127804502e-05,0.0001,0.989890630039265,0.9883029956014694,0.9628817230575886,1.037270905040246,A,ar,N4,clipped_sgd,F4,floor,0.01,0.02,,0.007417473501079911
100,0.0043075199282145635,1.0099677818384039,3.955791463422371,7.174059383857237e-05,0.3955791463422371,0.002146876694223084,0.006468163162206043,3.7903013495606995e-06,0.0001,0.988805502618272,1.0139009607805345,0.9815689648556666,1.0279598073185647,A,logistic,N3,sgd,F3,floor,0.0,0.0,,0.008465390072951539
100,0.0037231164699277454,1.0086096441004306,3.6821683411173645,0.00018843448725262049,0.36821683411173645,0.001716833723541943,0.005729399216313548,0.0001839469141721271,0.0003,0.9778891172979743,1.000855736951072,0.9838912958938428,1.0248246130906098,A,logistic,N2,clipped_sgd,F3,floor,0.0,0.0,,0.022046835008556597
100,0.0037231164699277454,1.0086096441004306,3.6821683411173645,0.00018843448725262049,0.36821683411173645,0.001716833723541943,0.005729399216313548,0.0001839469141721271,0.0003,0.9778891172979743,1.000855736951072,0.9838912958938428,1.0248246130906098,A,logistic,N2,sgd,F3,floor,0.0,0.0,,0.022046835008556597
100,0.006621100466872689,1.01536245496225,3.608623139856487,0.00024241643299249864,0.3608623139856487,0.0029804599026342963,0.010261741031111082,0.00046463863257395195,0.0003,0.9737461904817564,0.9793080321803609,0.9623561461619431,1.0568616155296406,A,ar,N4,clipped_sgd,F3,floor,0.01,0.01,,0.027877889794137346
100,0.001108023423804615,1.0025545756002832,3.558138922307019,0.00028762201486077853,0.35581389223070187,0.0004901276900550431,0.001725919157554187,9.171842759664749e-06,0.00025,0.9705416777374972,1.0009152768359986,0.9946067767661287,1.0145396290133624,A,logistic,N4,clipped_sgd,F4,floor,0.0,0.0,,0.03278890969412875
100,0.0010640789981986832,1.0024531364664253,3.3986485846617494,0.000488499941908929,0.3398648584661749,0.0004428427822807207,0.0016853152141166456,2.14197504095379e-05,0.00025,0.9582234018856711,1.0007988802176595,0.9950699296451011,1.0141387107499988,A,logistic,N4,normalized_sgd,F4,floor,0.0,0.0,,0.05520049343570897
100,0.005366850933115307,1.0124343019748738,3.020914366263791,0.0016034617685214653,0.30209143662637916,0.001841760411970195,0.008891941454260418,0.000735231343017023,0.00195,0.9123414751261303,1.0016266242108025,0.9656273707349085,1.052183311709279,A,quadratic,N3,sgd,F1,floor,0.02,0.02,,0.1795877180744041
100,0.0006472719124702614,1.001491509852819,2.959637310472535,0.0019269564159510313,0.29596373104725354,0.0002133241796131292,0.0010812196453273935,0.00010086938053724456,0.0015,0.9022471759908177,1.0001206526042037,0.9970845797781572,1.010200265335054,A,logistic,N4,clipped_sgd,F3,floor,0.0,0.0,,0.21389216217056448
100,0.0006174662569710937,1.001422779790873,2.79598823409202,0.003108037928919327,0.279598823409202,0.00017927163257041825,0.0010556608813717691,0.00022651680658775339,0.00265,0.8711714018349643,1.0000575276899573,0.9973644569773183,1.0107319041624396,A,logistic,N4,normalized_sgd,F3,floor,0.0,0.0,,0.341884172181126
100,0.004347385183261648,1.0100604942095324,2.730589745395052,0.0037425698861069676,0.2730589745395052,0.0011883037467650638,0.0075064666197582315,9.907683367076443e-06,0.0035,0.8570139837421332,1.0140871423917577,0.9622802076960796,1.0389968877639217,A,logistic,N2,clipped_sgd,F2,floor,0.0,0.0,,0.40794011758565946
