batch,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
32,F0,sgd,1,0.02214566199470125,0.805
32,F0,sgd,2,0.037469131222551355,0.777
32,F0,sgd,3,0.0483599053993103,0.767
32,F0,adam,0,0.06690458246949928,0.714
32,F0,adam,1,0.027113694818812723,0.808
32,F0,adam,2,0.029596312087710526,0.78
32,F0,adam,3,0.05577624243021814,0.747
32,F4,sgd,0,0.026518232329911642,0.772
32,F4,sgd,1,0.02191913584827922,0.798
32,F4,sgd,2,0.030581470145693086,0.783
32,F4,sgd,3,0.018942150312240943,0.811
32,F4,adam,0,0.035561529172654,0.76
32,F4,adam,1,0.0347484889920112,0.778
32,F4,adam,2,0.03728888520896811,0.774
32,F4,adam,3,0.023466482340060033,0.804
32,F7,sgd,0,0.02547096001773095,0.775
32,F7,sgd,1,0.016293515246122048,0.807
32,F7,sgd,2,0.02632796897990515,0.793
32,F7,sgd,3,0.0172444330408934,0.812
32,F7,adam,0,0.03118149480581338,0.766
32,F7,adam,1,0.024943996983898313,0.801
32,F7,adam,2,0.03175523135659096,0.789
32,F7,adam,3,0.019476464715664485,0.806
32,F8,sgd,0,0.02641588628047085,0.775
32,F8,sgd,1,0.01671199674484553,0.808
32,F8,sgd,2,0.0259936898183998,0.799
32,F8,sgd,3,0.016949024245114803,0.812
32,F8,adam,0,0.0317153935132127,0.765
32,F8,adam,1,0.025505676526715967,0.802
32,F8,adam,2,0.03208947388419079,0.791
32,F8,adam,3,0.019405544314402338,0.805
64,F0,sgd,0,0.05559892520196742,0.75
64,F0,sgd,1,0.026471832713590986,0.81
64,F0,sgd,2,0.04144627348634697,0.78
64,F0,sgd,3,0.04834967018863741,0.755
64,F0,adam,0,0.04777789328265759,0.759
64,F0,adam,1,0.03377723703929496,0.785
64,F0,adam,2,0.03704938959361805,0.793
64,F0,adam,3,0.04399252829810669,0.761
64,F4,sgd,0,0.02384327976954908,0.783
64,F4,sgd,1,0.03652199058698195,0.782
64,F4,sgd,2,0.017727225049510766,0.823
64,F4,sgd,3,0.0210936472846061,0.813
64,F4,adam,0,0.0338518356338838,0.771
64,F4,adam,1,0.05697180519652427,0.756
64,F4,adam,2,0.02251309219746236,0.814
64,F4,adam,3,0.0275202227135436,0.808
64,F7,sgd,0,0.02435178935541776,0.781
64,F7,sgd,1,0.0337032112860903,0.791
64,F7,sgd,2,0.02158325226822343,0.81
64,F7,sgd,3,0.021731113593846357,0.805
64,F7,adam,0,0.035673701322724856,0.769
64,F7,adam,1,0.04747994537913284,0.772
64,F7,adam,2,0.02425373862193339,0.804
64,F7,adam,3,0.028439576674831678,0.793
64,F8,sgd,0,0.02505812296887745,0.785
64,F8,sgd,1,0.0330789278712399,0.788
64,F8,sgd,2,0.021259458058519656,0.811
64,F8,sgd,3,0.02263445546344423,0.8
64,F8,adam,0,0.03633816327967101,0.767
64,F8,adam,1,0.04759031781271446,0.773
64,F8,adam,2,0.024179620808433534,0.802
64,F8,adam,3,0.028425286629866896,0.791
128,F0,sgd,0,0.04291228092882073,0.768
128,F0,sgd,1,0.06005722399079485,0.765
128,F0,sgd,2,0.0641371850110426,0.745
128,F0,sgd,3,0.05943198541762566,0.735
128,F0,adam,0,0.03819221347731661,0.762
128,F0,adam,1,0.05871602505101219,0.766
128,F0,adam,2,0.03822975280027214,0.774
128,F0,adam,3,0.06489554831652806,0.729
128,F4,sgd,0,0.029653099473026173,0.79
128,F4,sgd,1,0.019616958089121353,0.816
128,F4,sgd,2,0.0290826256635374,0.787
128,F4,sgd,3,0.02533164588242734,0.793
128,F4,adam,0,0.04214167173519287,0.767
128,F4,adam,1,0.027967686124072775,0.799
128,F4,adam,2,0.04552170169808991,0.764
128,F4,adam,3,0.03257488896194234,0.784
128,F7,sgd,0,0.030976790037053774,0.782
128,F7,sgd,1,0.020174032828938662,0.811
128,F7,sgd,2,0.027433186480636983,0.794
128,F7,sgd,3,0.025449673518865238,0.783
128,F7,adam,0,0.03991094999664915,0.772
128,F7,adam,1,0.027305717182843997,0.802
128,F7,adam,2,0.038374315448625476,0.778
128,F7,adam,3,0.030123776349289522,0.778
128,F8,sgd,0,0.03158732326873442,0.783
128,F8,sgd,1,0.01982982792506979,0.815
128,F8,sgd,2,0.026963137659242537,0.793
128,F8,sgd,3,0.026568009476460347,0.779
128,F8,adam,0,0.04042472739542088,0.774
128,F8,adam,1,0.02743513782051272,0.801
128,F8,adam,2,0.03874021997338236,0.778
128,F8,adam,3,0.02998903024585471,0.775
256,F0,sgd,0,0.048345330070108695,0.74
256,F0,sgd,1,0.044669858357007285,0.766
256,F0,sgd,2,0.11670526975474567,0.705
256,F0,sgd,3,0.07482395443664226,0.717
256,F0,adam,0,0.04722680470756443,0.736
256,F0,adam,1,0.056194240194618696,0.743
256,F0,adam,2,0.030403736369095515,0.816
256,F0,adam,3,0.07005407027124845,0.717
256,F4,sgd,0,0.025009887273895838,0.778
256,F4,sgd,1,0.04778784591209499,0.754
256,F4,sgd,2,0.02029430025698492,0.825
256,F4,sgd,3,0.033966416147628645,0.781
256,F4,adam,0,0.03953473602229163,0.753
256,F4,adam,1,0.0732836992462015,0.725
256,F4,adam,2,0.025775746767026764,0.816
256,F4,adam,3,0.047130687103467774,0.771
256,F7,sgd,0,0.027894614137184907,0.763
256,F7,sgd,1,0.04685340048231236,0.759
256,F7,sgd,2,0.0173638592994699,0.833
256,F7,sgd,3,0.03392690500366875,0.778
256,F7,adam,0,0.039013760034247606,0.754
256,F7,adam,1,0.06678579231908521,0.735
256,F7,adam,2,0.020991575324674022,0.817
256,F7,adam,3,0.043514489544907616,0.765
256,F8,sgd,0,0.027898570979348634,0.764
256,F8,sgd,1,0.04640141819354135,0.756
256,F8,sgd,2,0.017090508068778747,0.83
256,F8,sgd,3,0.03365846552762846,0.779
256,F8,adam,0,0.039798469758738325,0.753
256,F8,adam,1,0.06707428560887212,0.735
256,F8,adam,2,0.021081075459709518,0.819
256,F8,adam,3,0.04360326499203096,0.765
