ticker,filter,optimizer,seed,steps,final_grad_norm_sq,final_train_loss,holdout_mse_smoothed,holdout_mse_raw,loglik_raw,snr_filter_db,hurst_raw,hurst_smoothed,alpha_raw,alpha_smoothed,elapsed_s
MSFT,F2,sgd,3,1500,2.9155107346895165e-11,1.2348730672588122e-06,7.193024565400882e-07,0.0001288791526393563,2680.2733630885073,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.07643721000204096
MSFT,F2,sgd,4,1500,2.8557658984251824e-11,1.2111580952771118e-06,7.056608187421048e-07,0.00012850065327563994,2681.5488150640026,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.08436939000239363
MSFT,F2,adam,0,1500,2.0948353418448565e-18,3.397995395836077e-08,1.2968444396297285e-08,0.0002300458060249478,2425.7372299454146,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.08618497399584157
MSFT,F2,adam,1,1500,1.859762696755411e-18,3.39756950758653e-08,1.2964944196612802e-08,0.0002304124466887828,2425.0397132853036,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.1786289739975473
MSFT,F2,adam,2,1500,1.9865693337836413e-18,3.3977817789301934e-08,1.2967416801107827e-08,0.00023019064167747536,2425.4615541803405,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.08569766200525919
MSFT,F2,adam,3,1500,2.1079506750748394e-18,3.397943085323277e-08,1.2972479858169946e-08,0.00023001105884954578,2425.8033925178306,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.08593168399966089
MSFT,F2,adam,4,1500,2.1905108522649246e-18,3.3981590398212e-08,1.2970107486340283e-08,0.000229894484591165,2426.0254360279932,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.1793077149995952
MSFT,F2,adamw,0,1500,2.1068924713252764e-18,3.3980146398317684e-08,1.2968810955085214e-08,0.0002300186981353272,2425.788845567826,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.1797085159996641
MSFT,F2,adamw,1,1500,1.8711395757983483e-18,3.397587845114818e-08,1.296530623667477e-08,0.00023038510272247703,2425.0916955905304,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.09524123599840095
MSFT,F2,adamw,2,1500,1.9989375796603028e-18,3.3978014756265267e-08,1.2967792290080459e-08,0.00023016254831139527,2425.5150126851368,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.08983117200114066
MSFT,F2,adamw,3,1500,2.1205629454242865e-18,3.397963102000451e-08,1.2972848744487239e-08,0.00022998337656645975,2425.856109860949,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.17760539099981543
MSFT,F2,adamw,4,1500,2.2029275288062456e-18,3.3981787072096746e-08,1.2970475638412384e-08,0.00022986747855978395,2426.076891541555,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.18158227000094485
MSFT,F3,sgd,0,1500,6.743605492742536e-10,2.3398828129902647e-05,2.594622721493161e-06,0.00012865463851554737,2681.018644886118,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.14907845000561792
MSFT,F3,sgd,1,1500,7.064383430027063e-10,2.3581335494614508e-05,2.6253758026124366e-06,0.00012900469832438744,2679.8130037715573,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.15766586099925917
MSFT,F3,sgd,2,1500,7.558692040945374e-10,2.397156071622091e-05,2.6672136686709366e-06,0.000129268751407994,2678.9536611583817,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.15709493000031216
MSFT,F3,sgd,3,1500,7.621130846821897e-10,2.3902624517730982e-05,2.6130847097804646e-06,0.0001288722905649003,2680.2972848665318,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.0781246740007191
