ticker,filter,optimizer,seed,train_size,test_size,train_mse,holdout_mse_raw,holdout_loglik_raw,snr_filter_db,hurst_train_raw,hurst_train_smoothed,alpha_train_raw,alpha_train_smoothed
QQQ,F2,sgd,0,1000,200,8.806144267682556e-07,0.00014290206403422045,601.8407481173367,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,sgd,1,1000,200,8.647349166033147e-07,0.0001435643427897865,601.3567424479311,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,sgd,2,1000,200,9.093649479724947e-07,0.00014398904934600975,601.1017961514463,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,adam,0,1000,200,2.6803577890314518e-08,0.0002583046299047786,541.8489397666691,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,adam,1,1000,200,2.6801233505541557e-08,0.000258726012612638,541.68594314386,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,adam,2,1000,200,2.6802467461113828e-08,0.00025849575481812085,541.7749772926062,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,adamw,0,1000,200,2.680368677152852e-08,0.00025827801786735383,541.8592426434536,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,adamw,1,1000,200,2.6801336634037272e-08,0.0002586990853435671,541.6963510889508,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F2,adamw,2,1000,200,2.6802577799726848e-08,0.00025846810140322146,541.7856754446135,-24.1628645960989,0.5305666406944348,1.4309154899657346,1.021581561674994,1.4417604983286971
QQQ,F3,sgd,0,1000,200,3.153998329895127e-05,0.0001428900193705761,601.8497437630216,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,sgd,1,1000,200,3.1837967084824955e-05,0.00014354979617138458,601.3674687097958,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
