stage1_mcnemar_p,rate_gain,hit_F0,hit_Fk,n_both,speedup_both,t_stat,p_cond,cohen_d,block,model,noise,optimizer,filter
1.0,0.0,1.0,1.0,100,0.9821842226092053,-4.465225113495283,0.9999893806146914,-0.44652251134952825,A,quadratic,N1,sgd,F4
1.0,0.0,1.0,1.0,100,1.0015806483630327,0.4101222068196913,0.34130123459922046,0.04101222068196913,A,quadratic,N1,sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,clipped_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,clipped_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,clipped_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,clipped_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,clipped_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,normalized_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,normalized_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,normalized_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,normalized_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,normalized_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N2,sgd,F5
1.0,-1.0,1.0,0.0,0,,,,,A,quadratic,N3,clipped_sgd,F1
1.0,-1.0,1.0,0.0,0,,,,,A,quadratic,N3,clipped_sgd,F2
1.0,-0.73,1.0,0.27,27,0.3430732709848975,-7.732891100224939,0.999999983381077,-1.4881955861096432,A,quadratic,N3,clipped_sgd,F3
1.0,0.0,1.0,1.0,100,2.4275633185442276,20.540120290590387,8.943538246799355e-38,2.0540120290590385,A,quadratic,N3,clipped_sgd,F4
1.0,0.0,1.0,1.0,100,2.508794573068198,21.776465326630817,7.753865449731566e-40,2.177646532663082,A,quadratic,N3,clipped_sgd,F5
1.0,-1.0,1.0,0.0,0,,,,,A,quadratic,N3,normalized_sgd,F1
1.0,-1.0,1.0,0.0,0,,,,,A,quadratic,N3,normalized_sgd,F2
1.0,-0.8200000000000001,1.0,0.18,18,0.330639608351836,-6.112331016046484,0.9999942490156822,-1.4406902367677765,A,quadratic,N3,normalized_sgd,F3
1.0,0.0,1.0,1.0,100,3.1058372881642287,33.266517634298076,7.647295255117158e-56,3.3266517634298074,A,quadratic,N3,normalized_sgd,F4
1.0,0.0,1.0,1.0,100,3.926397350376283,41.32296229411721,1.5254917314938256e-64,4.132296229411721,A,quadratic,N3,normalized_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N3,sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N3,sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N3,sgd,F3
