train,test,filter,optimizer,seed,test_acc,majority
BTC-USD,JPM,F9,adam,2,0.4917638984214139,0.6376115305422101
BTC-USD,MSFT,F0,adam,0,0.6300617707618394,0.6283459162663005
BTC-USD,MSFT,F0,adam,1,0.3822923816060398,0.6283459162663005
BTC-USD,MSFT,F0,adam,2,0.37508579272477693,0.6283459162663005
BTC-USD,MSFT,F4,adam,0,0.4591626630061771,0.6283459162663005
BTC-USD,MSFT,F4,adam,1,0.4948524365133837,0.6283459162663005
BTC-USD,MSFT,F4,adam,2,0.5137268359643102,0.6283459162663005
BTC-USD,MSFT,F7,adam,0,0.4667124227865477,0.6283459162663005
BTC-USD,MSFT,F7,adam,1,0.46019217570350035,0.6283459162663005
BTC-USD,MSFT,F7,adam,2,0.46705559368565547,0.6283459162663005
BTC-USD,MSFT,F8,adam,0,0.4667124227865477,0.6283459162663005
BTC-USD,MSFT,F8,adam,1,0.46019217570350035,0.6283459162663005
BTC-USD,MSFT,F8,adam,2,0.46705559368565547,0.6283459162663005
BTC-USD,MSFT,F9,adam,0,0.4667124227865477,0.6283459162663005
BTC-USD,MSFT,F9,adam,1,0.4643102264927934,0.6283459162663005
BTC-USD,MSFT,F9,adam,2,0.46705559368565547,0.6283459162663005
BTC-USD,QQQ,F0,adam,0,0.6135895676046671,0.6125600549073438
BTC-USD,QQQ,F0,adam,1,0.394646533973919,0.6125600549073438
BTC-USD,QQQ,F0,adam,2,0.39052848318462596,0.6125600549073438
BTC-USD,QQQ,F4,adam,0,0.4869595058339053,0.6125600549073438
BTC-USD,QQQ,F4,adam,1,0.5188743994509266,0.6125600549073438
BTC-USD,QQQ,F4,adam,2,0.532258064516129,0.6125600549073438
BTC-USD,QQQ,F7,adam,0,0.4800960878517502,0.6125600549073438
BTC-USD,QQQ,F7,adam,1,0.48112560054907344,0.6125600549073438
BTC-USD,QQQ,F7,adam,2,0.48627316403568976,0.6125600549073438
BTC-USD,QQQ,F8,adam,0,0.4800960878517502,0.6125600549073438
BTC-USD,QQQ,F8,adam,1,0.48112560054907344,0.6125600549073438
BTC-USD,QQQ,F8,adam,2,0.48627316403568976,0.6125600549073438
BTC-USD,QQQ,F9,adam,0,0.48112560054907344,0.6125600549073438
BTC-USD,QQQ,F9,adam,1,0.4804392587508579,0.6125600549073438
BTC-USD,QQQ,F9,adam,2,0.48181194234728897,0.6125600549073438
BTC-USD,SPY,F0,adam,0,0.6204529855868223,0.6187371310912835
BTC-USD,SPY,F0,adam,1,0.3840082361015786,0.6187371310912835
BTC-USD,SPY,F0,adam,2,0.3822923816060398,0.6187371310912835
BTC-USD,SPY,F4,adam,0,0.4673987645847632,0.6187371310912835
BTC-USD,SPY,F4,adam,1,0.5099519560741249,0.6187371310912835
BTC-USD,SPY,F4,adam,2,0.5312285518188058,0.6187371310912835
BTC-USD,SPY,F7,adam,0,0.47632120796156485,0.6187371310912835
BTC-USD,SPY,F7,adam,1,0.47014413177762526,0.6187371310912835
BTC-USD,SPY,F7,adam,2,0.47940974605353465,0.6187371310912835
BTC-USD,SPY,F8,adam,0,0.47632120796156485,0.6187371310912835
BTC-USD,SPY,F8,adam,1,0.47014413177762526,0.6187371310912835
BTC-USD,SPY,F8,adam,2,0.47940974605353465,0.6187371310912835
BTC-USD,SPY,F9,adam,0,0.47975291695264244,0.6187371310912835
BTC-USD,SPY,F9,adam,1,0.4800960878517502,0.6187371310912835
BTC-USD,SPY,F9,adam,2,0.48249828414550444,0.6187371310912835
ETH-USD,AAPL,F0,adam,0,0.6314344543582704,0.6310912834591627
ETH-USD,AAPL,F0,adam,1,0.37577213452299246,0.6310912834591627
ETH-USD,AAPL,F0,adam,2,0.38984214138641043,0.6310912834591627
ETH-USD,AAPL,F4,adam,0,0.49656829100892247,0.6310912834591627
ETH-USD,AAPL,F4,adam,1,0.4735758407687028,0.6310912834591627
ETH-USD,AAPL,F4,adam,2,0.5274536719286205,0.6310912834591627
ETH-USD,AAPL,F7,adam,0,0.48112560054907344,0.6310912834591627
ETH-USD,AAPL,F7,adam,1,0.46945778997940973,0.6310912834591627
ETH-USD,AAPL,F7,adam,2,0.4821551132463967,0.6310912834591627
ETH-USD,AAPL,F8,adam,0,0.48112560054907344,0.6310912834591627
ETH-USD,AAPL,F8,adam,1,0.46945778997940973,0.6310912834591627
ETH-USD,AAPL,F8,adam,2,0.4821551132463967,0.6310912834591627
ETH-USD,AAPL,F9,adam,0,0.4752916952642416,0.6310912834591627
ETH-USD,AAPL,F9,adam,1,0.4752916952642416,0.6310912834591627
ETH-USD,AAPL,F9,adam,2,0.4773507206588881,0.6310912834591627
ETH-USD,BTC-USD,F0,adam,0,0.49416609471516815,0.511324639670556
ETH-USD,BTC-USD,F0,adam,1,0.5123541523678792,0.511324639670556
ETH-USD,BTC-USD,F0,adam,2,0.5202470830473576,0.511324639670556
ETH-USD,BTC-USD,F4,adam,0,0.48490048043925876,0.511324639670556
ETH-USD,BTC-USD,F4,adam,1,0.48490048043925876,0.511324639670556
ETH-USD,BTC-USD,F4,adam,2,0.4783802333562114,0.511324639670556
ETH-USD,BTC-USD,F7,adam,0,0.4807824296499657,0.511324639670556
ETH-USD,BTC-USD,F7,adam,1,0.48112560054907344,0.511324639670556
ETH-USD,BTC-USD,F7,adam,2,0.4787234042553192,0.511324639670556
ETH-USD,BTC-USD,F8,adam,0,0.4807824296499657,0.511324639670556
ETH-USD,BTC-USD,F8,adam,1,0.48112560054907344,0.511324639670556
ETH-USD,BTC-USD,F8,adam,2,0.4787234042553192,0.511324639670556
ETH-USD,BTC-USD,F9,adam,0,0.4821551132463967,0.511324639670556
ETH-USD,BTC-USD,F9,adam,1,0.4807824296499657,0.511324639670556
ETH-USD,BTC-USD,F9,adam,2,0.4838709677419355,0.511324639670556
ETH-USD,EURUSD=X,F0,adam,0,0.6479066575154427,0.6479066575154426
ETH-USD,EURUSD=X,F0,adam,1,0.3520933424845573,0.6479066575154426
ETH-USD,EURUSD=X,F0,adam,2,0.35277968428277284,0.6479066575154426
ETH-USD,EURUSD=X,F4,adam,0,0.5065202470830473,0.6479066575154426
ETH-USD,EURUSD=X,F4,adam,1,0.42896362388469456,0.6479066575154426
ETH-USD,EURUSD=X,F4,adam,2,0.5895676046671242,0.6479066575154426
ETH-USD,EURUSD=X,F7,adam,0,0.5223061084420041,0.6479066575154426
ETH-USD,EURUSD=X,F7,adam,1,0.48284145504461223,0.6479066575154426
ETH-USD,EURUSD=X,F7,adam,2,0.5144131777625257,0.6479066575154426
ETH-USD,EURUSD=X,F8,adam,0,0.5223061084420041,0.6479066575154426
ETH-USD,EURUSD=X,F8,adam,1,0.48284145504461223,0.6479066575154426
ETH-USD,EURUSD=X,F8,adam,2,0.5144131777625257,0.6479066575154426
ETH-USD,EURUSD=X,F9,adam,0,0.5209334248455731,0.6479066575154426
ETH-USD,EURUSD=X,F9,adam,1,0.5041180507892931,0.6479066575154426
ETH-USD,EURUSD=X,F9,adam,2,0.5219629375428964,0.6479066575154426
ETH-USD,GBPUSD=X,F0,adam,0,0.6424159231297186,0.6424159231297186
ETH-USD,GBPUSD=X,F0,adam,1,0.3575840768702814,0.6424159231297186
ETH-USD,GBPUSD=X,F0,adam,2,0.3599862731640357,0.6424159231297186
ETH-USD,GBPUSD=X,F4,adam,0,0.5,0.6424159231297186
ETH-USD,GBPUSD=X,F4,adam,1,0.4334248455730954,0.6424159231297186
ETH-USD,GBPUSD=X,F4,adam,2,0.5813315030885381,0.6424159231297186
ETH-USD,GBPUSD=X,F7,adam,0,0.5312285518188058,0.6424159231297186
ETH-USD,GBPUSD=X,F7,adam,1,0.48730267673301303,0.6424159231297186
ETH-USD,GBPUSD=X,F7,adam,2,0.5175017158544956,0.6424159231297186
ETH-USD,GBPUSD=X,F8,adam,0,0.5312285518188058,0.6424159231297186
ETH-USD,GBPUSD=X,F8,adam,1,0.48730267673301303,0.6424159231297186
ETH-USD,GBPUSD=X,F8,adam,2,0.5175017158544956,0.6424159231297186
ETH-USD,GBPUSD=X,F9,adam,0,0.5253946465339739,0.6424159231297186
ETH-USD,GBPUSD=X,F9,adam,1,0.5006863417982155,0.6424159231297186
ETH-USD,GBPUSD=X,F9,adam,2,0.5247083047357584,0.6424159231297186
ETH-USD,JPM,F0,adam,0,0.6386410432395333,0.6376115305422101
ETH-USD,JPM,F0,adam,1,0.3692518874399451,0.6376115305422101
ETH-USD,JPM,F0,adam,2,0.3857240905971174,0.6376115305422101
ETH-USD,JPM,F4,adam,0,0.4907343857240906,0.6376115305422101
ETH-USD,JPM,F4,adam,1,0.45229924502402197,0.6376115305422101
