window,filter,noise,seed,delta_snr_db
9,F4 Median,N4 Mixed,5,6.704561958932027
9,F7 Hybrid (med w),N4 Mixed,5,8.43995539388268
9,F1 MA,N4 Mixed,6,5.114046607412472
9,F4 Median,N4 Mixed,6,7.380120794505602
9,F7 Hybrid (med w),N4 Mixed,6,8.937570170597029
9,F1 MA,N4 Mixed,7,5.190894107883739
9,F4 Median,N4 Mixed,7,7.5431550119449575
9,F7 Hybrid (med w),N4 Mixed,7,8.832567391183478
9,F1 MA,N4 Mixed,8,4.7989447651859685
9,F4 Median,N4 Mixed,8,8.178353578037473
9,F7 Hybrid (med w),N4 Mixed,8,8.824410283396823
9,F1 MA,N4 Mixed,9,5.636077785012493
9,F4 Median,N4 Mixed,9,7.390664138484503
9,F7 Hybrid (med w),N4 Mixed,9,8.922683601787238
15,F1 MA,N1 Gauss,0,10.897722563585889
15,F4 Median,N1 Gauss,0,9.744434373507069
15,F7 Hybrid (med w),N1 Gauss,0,11.778466648531746
15,F1 MA,N1 Gauss,1,11.510046678816938
15,F4 Median,N1 Gauss,1,9.732870243216265
15,F7 Hybrid (med w),N1 Gauss,1,11.607767900965124
15,F1 MA,N1 Gauss,2,11.349469260162854
15,F4 Median,N1 Gauss,2,10.030787146133465
15,F7 Hybrid (med w),N1 Gauss,2,12.150313870674958
15,F1 MA,N1 Gauss,3,11.098286756387948
15,F4 Median,N1 Gauss,3,9.719651514392861
15,F7 Hybrid (med w),N1 Gauss,3,12.307481643622769
15,F1 MA,N1 Gauss,4,11.25249148815252
15,F4 Median,N1 Gauss,4,9.953557789982627
15,F7 Hybrid (med w),N1 Gauss,4,11.984975171434936
15,F1 MA,N1 Gauss,5,11.283780506225375
15,F4 Median,N1 Gauss,5,9.805829007458337
15,F7 Hybrid (med w),N1 Gauss,5,12.121373739819814
15,F1 MA,N1 Gauss,6,11.038389970380507
15,F4 Median,N1 Gauss,6,10.101007755050398
15,F7 Hybrid (med w),N1 Gauss,6,12.260872018762841
